Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 44690 | GridSize: 287
Generation 2 | Revalues: 49240 | GridSize: 263
Generation 3 | Revalues: 51440 | GridSize: 276
Generation 4 | Revalues: 53920 | GridSize: 263
Generation 5 | Revalues: 56980 | GridSize: 295
Generation 6 | Revalues: 59420 | GridSize: 298
Generation 7 | Revalues: 62170 | GridSize: 300
Generation 8 | Revalues: 66640 | GridSize: 300
Generation 9 | Revalues: 68390 | GridSize: 300
Generation 10 | Revalues: 71340 | GridSize: 300
Generation 11 | Revalues: 73310 | GridSize: 300
Generation 12 | Revalues: 76690 | GridSize: 299
Generation 13 | Revalues: 78590 | GridSize: 300
Generation 14 | Revalues: 80290 | GridSize: 300
Generation 15 | Revalues: 82060 | GridSize: 300
Generation 16 | Revalues: 83430 | GridSize: 300
Generation 17 | Revalues: 85150 | GridSize: 299
Generation 18 | Revalues: 87650 | GridSize: 282
Generation 19 | Revalues: 89550 | GridSize: 296
Generation 20 | Revalues: 90730 | GridSize: 299
Generation 21 | Revalues: 92320 | GridSize: 295
Generation 22 | Revalues: 93840 | GridSize: 300
Generation 23 | Revalues: 96050 | GridSize: 299
Generation 24 | Revalues: 98240 | GridSize: 300
Generation 25 | Revalues: 100020 | GridSize: 300
Generation 26 | Revalues: 101410 | GridSize: 299
Generation 27 | Revalues: 103630 | GridSize: 300
Generation 28 | Revalues: 105300 | GridSize: 300
Generation 29 | Revalues: 107740 | GridSize: 300
Generation 30 | Revalues: 109340 | GridSize: 300
Generation 31 | Revalues: 111820 | GridSize: 299
Generation 32 | Revalues: 113680 | GridSize: 300
Generation 33 | Revalues: 115290 | GridSize: 300
Generation 34 | Revalues: 116500 | GridSize: 300
Generation 35 | Revalues: 119160 | GridSize: 300
Generation 36 | Revalues: 121040 | GridSize: 299
Generation 37 | Revalues: 122530 | GridSize: 300
Generation 38 | Revalues: 124180 | GridSize: 298
Generation 39 | Revalues: 125830 | GridSize: 300
Generation 40 | Revalues: 127840 | GridSize: 299
Generation 41 | Revalues: 129580 | GridSize: 297
Generation 42 | Revalues: 132120 | GridSize: 292
Generation 43 | Revalues: 133640 | GridSize: 298
Generation 44 | Revalues: 135440 | GridSize: 300
Generation 45 | Revalues: 137390 | GridSize: 295
Generation 46 | Revalues: 138980 | GridSize: 300
Generation 47 | Revalues: 140200 | GridSize: 299
Generation 48 | Revalues: 141650 | GridSize: 300
Generation 49 | Revalues: 143630 | GridSize: 300
Generation 50 | Revalues: 145240 | GridSize: 300
Generation 51 | Revalues: 147650 | GridSize: 292
Generation 52 | Revalues: 148990 | GridSize: 300
Generation 53 | Revalues: 150230 | GridSize: 300
Generation 54 | Revalues: 151890 | GridSize: 300
Generation 55 | Revalues: 153900 | GridSize: 300
Generation 56 | Revalues: 155380 | GridSize: 300
Generation 57 | Revalues: 156750 | GridSize: 300
Generation 58 | Revalues: 158310 | GridSize: 296
Generation 59 | Revalues: 159910 | GridSize: 300
Generation 60 | Revalues: 161250 | GridSize: 296
Generation 61 | Revalues: 162820 | GridSize: 297
Generation 62 | Revalues: 164920 | GridSize: 300
Generation 63 | Revalues: 166800 | GridSize: 300
Generation 64 | Revalues: 168250 | GridSize: 299
Generation 65 | Revalues: 169520 | GridSize: 294
Generation 66 | Revalues: 170980 | GridSize: 300
Generation 67 | Revalues: 172280 | GridSize: 300
Generation 68 | Revalues: 173340 | GridSize: 300
Generation 69 | Revalues: 174610 | GridSize: 300
Generation 70 | Revalues: 175880 | GridSize: 300
Generation 71 | Revalues: 177000 | GridSize: 300
Generation 72 | Revalues: 178410 | GridSize: 300
Generation 73 | Revalues: 179870 | GridSize: 296
Generation 74 | Revalues: 181000 | GridSize: 298
Generation 75 | Revalues: 182260 | GridSize: 298
Generation 76 | Revalues: 183460 | GridSize: 300
Generation 77 | Revalues: 184920 | GridSize: 299
Generation 78 | Revalues: 186300 | GridSize: 297
Generation 79 | Revalues: 188190 | GridSize: 299
Generation 80 | Revalues: 189440 | GridSize: 299
Generation 81 | Revalues: 191040 | GridSize: 297
Generation 82 | Revalues: 192200 | GridSize: 298
Generation 83 | Revalues: 193390 | GridSize: 300
Generation 84 | Revalues: 194480 | GridSize: 300
Generation 85 | Revalues: 195590 | GridSize: 300
Generation 86 | Revalues: 197240 | GridSize: 300
Generation 87 | Revalues: 198500 | GridSize: 296
Generation 88 | Revalues: 199940 | GridSize: 298
Generation 89 | Revalues: 201200 | GridSize: 300
Generation 90 | Revalues: 202270 | GridSize: 300
Generation 91 | Revalues: 203540 | GridSize: 300
Generation 92 | Revalues: 204950 | GridSize: 300
Generation 93 | Revalues: 206060 | GridSize: 300
Generation 94 | Revalues: 207100 | GridSize: 300
Generation 95 | Revalues: 208580 | GridSize: 299
Generation 96 | Revalues: 209620 | GridSize: 299
Generation 97 | Revalues: 211460 | GridSize: 300
Generation 98 | Revalues: 212530 | GridSize: 295
Generation 99 | Revalues: 213830 | GridSize: 298
Generation 100 | Revalues: 215180 | GridSize: 300
Generation 101 | Revalues: 216390 | GridSize: 300
Generation 102 | Revalues: 217780 | GridSize: 300
Generation 103 | Revalues: 219030 | GridSize: 298
Generation 104 | Revalues: 220490 | GridSize: 300
Generation 105 | Revalues: 221960 | GridSize: 297
Generation 106 | Revalues: 223190 | GridSize: 300
Generation 107 | Revalues: 224450 | GridSize: 300
Generation 108 | Revalues: 225560 | GridSize: 300
Generation 109 | Revalues: 226720 | GridSize: 300
Generation 110 | Revalues: 227950 | GridSize: 299
Generation 111 | Revalues: 229580 | GridSize: 298
Generation 112 | Revalues: 230690 | GridSize: 296
Generation 113 | Revalues: 231830 | GridSize: 299
Generation 114 | Revalues: 233430 | GridSize: 300
Generation 115 | Revalues: 234860 | GridSize: 300
Generation 116 | Revalues: 236090 | GridSize: 299
Generation 117 | Revalues: 237700 | GridSize: 300
Generation 118 | Revalues: 239270 | GridSize: 300
Generation 119 | Revalues: 240680 | GridSize: 293
Generation 120 | Revalues: 241750 | GridSize: 296
Generation 121 | Revalues: 242950 | GridSize: 294
Generation 122 | Revalues: 244120 | GridSize: 300
Generation 123 | Revalues: 245350 | GridSize: 297
Generation 124 | Revalues: 246720 | GridSize: 300
Generation 125 | Revalues: 248180 | GridSize: 300
Generation 126 | Revalues: 249650 | GridSize: 299
Generation 127 | Revalues: 250920 | GridSize: 298
Generation 128 | Revalues: 252190 | GridSize: 300
Generation 129 | Revalues: 253280 | GridSize: 299
Generation 130 | Revalues: 254580 | GridSize: 299
Generation 131 | Revalues: 256520 | GridSize: 298
Generation 132 | Revalues: 257660 | GridSize: 297
Generation 133 | Revalues: 258970 | GridSize: 300
Generation 134 | Revalues: 260140 | GridSize: 299
Generation 135 | Revalues: 261260 | GridSize: 300
Generation 136 | Revalues: 262680 | GridSize: 300
Generation 137 | Revalues: 263990 | GridSize: 299
Generation 138 | Revalues: 265080 | GridSize: 298
Generation 139 | Revalues: 266410 | GridSize: 297
Generation 140 | Revalues: 267690 | GridSize: 300
Generation 141 | Revalues: 269020 | GridSize: 300
Generation 142 | Revalues: 270780 | GridSize: 299
Generation 143 | Revalues: 272160 | GridSize: 296
Generation 144 | Revalues: 273670 | GridSize: 300
Generation 145 | Revalues: 274880 | GridSize: 300
Generation 146 | Revalues: 275980 | GridSize: 300
Generation 147 | Revalues: 277450 | GridSize: 296
Generation 148 | Revalues: 278630 | GridSize: 300
Generation 149 | Revalues: 279680 | GridSize: 300
Generation 150 | Revalues: 280760 | GridSize: 299
Generation 151 | Revalues: 282110 | GridSize: 298
Generation 152 | Revalues: 283570 | GridSize: 299
Generation 153 | Revalues: 284670 | GridSize: 300
Generation 154 | Revalues: 285680 | GridSize: 300
Generation 155 | Revalues: 286950 | GridSize: 297
Generation 156 | Revalues: 288400 | GridSize: 299
Generation 157 | Revalues: 289430 | GridSize: 298
Generation 158 | Revalues: 290600 | GridSize: 295
Generation 159 | Revalues: 292370 | GridSize: 291
Generation 160 | Revalues: 293650 | GridSize: 300
Generation 161 | Revalues: 295010 | GridSize: 299
Generation 162 | Revalues: 296240 | GridSize: 300
Generation 163 | Revalues: 297480 | GridSize: 300
Generation 164 | Revalues: 298590 | GridSize: 300
Generation 165 | Revalues: 299680 | GridSize: 300
Generation 166 | Revalues: 300880 | GridSize: 300
Generation 167 | Revalues: 302390 | GridSize: 298
Generation 168 | Revalues: 303450 | GridSize: 299
Generation 169 | Revalues: 304490 | GridSize: 300
Generation 170 | Revalues: 305630 | GridSize: 300
Generation 171 | Revalues: 307130 | GridSize: 300
Generation 172 | Revalues: 308320 | GridSize: 300
Generation 173 | Revalues: 309620 | GridSize: 300
Generation 174 | Revalues: 310970 | GridSize: 297
Generation 175 | Revalues: 311990 | GridSize: 300
Generation 176 | Revalues: 313370 | GridSize: 300
Generation 177 | Revalues: 314450 | GridSize: 300
Generation 178 | Revalues: 315670 | GridSize: 300
Generation 179 | Revalues: 316840 | GridSize: 300
Generation 180 | Revalues: 317860 | GridSize: 300
Generation 181 | Revalues: 319140 | GridSize: 300
Generation 182 | Revalues: 320620 | GridSize: 300
Generation 183 | Revalues: 322040 | GridSize: 300
Generation 184 | Revalues: 323300 | GridSize: 300
Generation 185 | Revalues: 324500 | GridSize: 299
Generation 186 | Revalues: 325540 | GridSize: 299
Generation 187 | Revalues: 326570 | GridSize: 300
Generation 188 | Revalues: 327630 | GridSize: 300
Generation 189 | Revalues: 328840 | GridSize: 299
Generation 190 | Revalues: 330210 | GridSize: 300
Generation 191 | Revalues: 331270 | GridSize: 295
Generation 192 | Revalues: 332340 | GridSize: 299
Generation 193 | Revalues: 333490 | GridSize: 299
Generation 194 | Revalues: 334560 | GridSize: 299
Generation 195 | Revalues: 335730 | GridSize: 298
Generation 196 | Revalues: 336830 | GridSize: 300
Generation 197 | Revalues: 338110 | GridSize: 299
Generation 198 | Revalues: 339280 | GridSize: 293
Generation 199 | Revalues: 340330 | GridSize: 299
Generation 200 | Revalues: 341620 | GridSize: 299
Generation 201 | Revalues: 342830 | GridSize: 300
Generation 202 | Revalues: 344470 | GridSize: 300
Generation 203 | Revalues: 345770 | GridSize: 298
Generation 204 | Revalues: 346930 | GridSize: 298
Generation 205 | Revalues: 347990 | GridSize: 299
Generation 206 | Revalues: 349000 | GridSize: 299
Generation 207 | Revalues: 350080 | GridSize: 300
Generation 208 | Revalues: 351260 | GridSize: 300
Generation 209 | Revalues: 352320 | GridSize: 300
Generation 210 | Revalues: 353590 | GridSize: 297
Generation 211 | Revalues: 354910 | GridSize: 300
Generation 212 | Revalues: 355990 | GridSize: 300
Generation 213 | Revalues: 357160 | GridSize: 299
Generation 214 | Revalues: 358210 | GridSize: 300
Generation 215 | Revalues: 359290 | GridSize: 300
Generation 216 | Revalues: 360330 | GridSize: 299
Generation 217 | Revalues: 361670 | GridSize: 300
Generation 218 | Revalues: 362880 | GridSize: 295
Generation 219 | Revalues: 364370 | GridSize: 291
Generation 220 | Revalues: 365530 | GridSize: 289
Generation 221 | Revalues: 366910 | GridSize: 300
Generation 222 | Revalues: 368030 | GridSize: 295
Generation 223 | Revalues: 369130 | GridSize: 295
Generation 224 | Revalues: 370580 | GridSize: 300
Generation 225 | Revalues: 371730 | GridSize: 298
Generation 226 | Revalues: 372840 | GridSize: 298
Generation 227 | Revalues: 373970 | GridSize: 300
Generation 228 | Revalues: 375130 | GridSize: 297
Generation 229 | Revalues: 376200 | GridSize: 300
Generation 230 | Revalues: 377410 | GridSize: 300
Generation 231 | Revalues: 378480 | GridSize: 298
Generation 232 | Revalues: 379700 | GridSize: 300
Generation 233 | Revalues: 380740 | GridSize: 300
Generation 234 | Revalues: 381920 | GridSize: 300
Generation 235 | Revalues: 383370 | GridSize: 297
Generation 236 | Revalues: 384450 | GridSize: 298
Generation 237 | Revalues: 385540 | GridSize: 300
Generation 238 | Revalues: 386690 | GridSize: 300
Generation 239 | Revalues: 387710 | GridSize: 300
Generation 240 | Revalues: 388900 | GridSize: 300
Generation 241 | Revalues: 390020 | GridSize: 300
Generation 242 | Revalues: 391120 | GridSize: 300
Generation 243 | Revalues: 392320 | GridSize: 300
Generation 244 | Revalues: 393350 | GridSize: 300
Generation 245 | Revalues: 394560 | GridSize: 300
Generation 246 | Revalues: 395910 | GridSize: 299
Generation 247 | Revalues: 397500 | GridSize: 300
Generation 248 | Revalues: 398730 | GridSize: 300
Generation 249 | Revalues: 399820 | GridSize: 298
Generation 250 | Revalues: 400940 | GridSize: 300
Generation 251 | Revalues: 402020 | GridSize: 300
Generation 252 | Revalues: 403220 | GridSize: 300
Generation 253 | Revalues: 404300 | GridSize: 300
Generation 254 | Revalues: 405360 | GridSize: 300
Generation 255 | Revalues: 406410 | GridSize: 300
Generation 256 | Revalues: 407470 | GridSize: 300
Generation 257 | Revalues: 408620 | GridSize: 300
Generation 258 | Revalues: 410040 | GridSize: 298
Generation 259 | Revalues: 411090 | GridSize: 300
Generation 260 | Revalues: 412220 | GridSize: 300
Generation 261 | Revalues: 413350 | GridSize: 300
Generation 262 | Revalues: 414580 | GridSize: 300
Generation 263 | Revalues: 415740 | GridSize: 300
Generation 264 | Revalues: 416750 | GridSize: 300
Generation 265 | Revalues: 417990 | GridSize: 296
Generation 266 | Revalues: 418990 | GridSize: 300
Generation 267 | Revalues: 420050 | GridSize: 300
Generation 268 | Revalues: 421150 | GridSize: 300
Generation 269 | Revalues: 422230 | GridSize: 300
Generation 270 | Revalues: 423410 | GridSize: 300
Generation 271 | Revalues: 424580 | GridSize: 300
Generation 272 | Revalues: 425770 | GridSize: 299
Generation 273 | Revalues: 426810 | GridSize: 297
Generation 274 | Revalues: 427820 | GridSize: 300
Generation 275 | Revalues: 428910 | GridSize: 300
Generation 276 | Revalues: 429920 | GridSize: 297
Generation 277 | Revalues: 430920 | GridSize: 299
Generation 278 | Revalues: 432000 | GridSize: 300
Generation 279 | Revalues: 433340 | GridSize: 300
Generation 280 | Revalues: 434550 | GridSize: 300
Generation 281 | Revalues: 435620 | GridSize: 300
Generation 282 | Revalues: 436630 | GridSize: 300
Generation 283 | Revalues: 437680 | GridSize: 300
Generation 284 | Revalues: 438980 | GridSize: 300
Generation 285 | Revalues: 440740 | GridSize: 299
Generation 286 | Revalues: 441920 | GridSize: 299
Generation 287 | Revalues: 443380 | GridSize: 300
Generation 288 | Revalues: 444420 | GridSize: 300
Generation 289 | Revalues: 445500 | GridSize: 300
Generation 290 | Revalues: 447060 | GridSize: 300
Generation 291 | Revalues: 448150 | GridSize: 300
Generation 292 | Revalues: 449270 | GridSize: 298
Generation 293 | Revalues: 450530 | GridSize: 299
Generation 294 | Revalues: 451660 | GridSize: 300
Generation 295 | Revalues: 453000 | GridSize: 300
Generation 296 | Revalues: 454080 | GridSize: 300
Generation 297 | Revalues: 455300 | GridSize: 299
Generation 298 | Revalues: 456620 | GridSize: 298
Generation 299 | Revalues: 457670 | GridSize: 300
Generation 300 | Revalues: 458970 | GridSize: 299
Generation 301 | Revalues: 460160 | GridSize: 299
Generation 302 | Revalues: 461350 | GridSize: 300
Generation 303 | Revalues: 462730 | GridSize: 300
Generation 304 | Revalues: 463880 | GridSize: 295
Generation 305 | Revalues: 464950 | GridSize: 300
Generation 306 | Revalues: 466140 | GridSize: 297
Generation 307 | Revalues: 467200 | GridSize: 300
Generation 308 | Revalues: 468620 | GridSize: 300
Generation 309 | Revalues: 469670 | GridSize: 299
Generation 310 | Revalues: 470750 | GridSize: 300
Generation 311 | Revalues: 471870 | GridSize: 300
Generation 312 | Revalues: 473120 | GridSize: 300
Generation 313 | Revalues: 474340 | GridSize: 300
Generation 314 | Revalues: 475470 | GridSize: 300
Generation 315 | Revalues: 476780 | GridSize: 300
Generation 316 | Revalues: 477970 | GridSize: 300
Generation 317 | Revalues: 479480 | GridSize: 300
Generation 318 | Revalues: 480530 | GridSize: 300
Generation 319 | Revalues: 482060 | GridSize: 298
Generation 320 | Revalues: 483360 | GridSize: 299
Generation 321 | Revalues: 484510 | GridSize: 300
Generation 322 | Revalues: 485640 | GridSize: 300
Generation 323 | Revalues: 487030 | GridSize: 300
Generation 324 | Revalues: 488110 | GridSize: 300
Generation 325 | Revalues: 489240 | GridSize: 300
Generation 326 | Revalues: 490270 | GridSize: 300
Generation 327 | Revalues: 491350 | GridSize: 300
Generation 328 | Revalues: 492500 | GridSize: 300
Generation 329 | Revalues: 493550 | GridSize: 300
Generation 330 | Revalues: 494620 | GridSize: 300
Generation 331 | Revalues: 495720 | GridSize: 300
Generation 332 | Revalues: 497030 | GridSize: 300
Generation 333 | Revalues: 498480 | GridSize: 298
Generation 334 | Revalues: 499510 | GridSize: 300
Generation 335 | Revalues: 500850 | GridSize: 300
Generation 336 | Revalues: 501990 | GridSize: 298
Generation 337 | Revalues: 503010 | GridSize: 300
Generation 338 | Revalues: 504170 | GridSize: 300
Generation 339 | Revalues: 505390 | GridSize: 300
Generation 340 | Revalues: 506670 | GridSize: 298
Generation 341 | Revalues: 508410 | GridSize: 300
Generation 342 | Revalues: 509620 | GridSize: 298
Generation 343 | Revalues: 511080 | GridSize: 300
Generation 344 | Revalues: 512170 | GridSize: 297
Generation 345 | Revalues: 513290 | GridSize: 300
Generation 346 | Revalues: 514350 | GridSize: 300
Generation 347 | Revalues: 515560 | GridSize: 300
Generation 348 | Revalues: 516730 | GridSize: 300
Generation 349 | Revalues: 517920 | GridSize: 299
Generation 350 | Revalues: 519090 | GridSize: 300
Generation 351 | Revalues: 520380 | GridSize: 298
Generation 352 | Revalues: 521900 | GridSize: 298
Generation 353 | Revalues: 523140 | GridSize: 300
Generation 354 | Revalues: 524340 | GridSize: 300
Generation 355 | Revalues: 525660 | GridSize: 299
Generation 356 | Revalues: 526910 | GridSize: 300
Generation 357 | Revalues: 528050 | GridSize: 300
Generation 358 | Revalues: 529230 | GridSize: 300
Generation 359 | Revalues: 530260 | GridSize: 300
Generation 360 | Revalues: 531320 | GridSize: 300
Generation 361 | Revalues: 532720 | GridSize: 299
Generation 362 | Revalues: 533780 | GridSize: 300
Generation 363 | Revalues: 534910 | GridSize: 300
Generation 364 | Revalues: 536010 | GridSize: 300
Generation 365 | Revalues: 537150 | GridSize: 298
Generation 366 | Revalues: 538340 | GridSize: 300
Generation 367 | Revalues: 539420 | GridSize: 300
Generation 368 | Revalues: 540510 | GridSize: 300
Generation 369 | Revalues: 541820 | GridSize: 300
Generation 370 | Revalues: 543050 | GridSize: 299
Generation 371 | Revalues: 544220 | GridSize: 299
Generation 372 | Revalues: 545270 | GridSize: 298
Generation 373 | Revalues: 546280 | GridSize: 300
Generation 374 | Revalues: 547390 | GridSize: 300
Generation 375 | Revalues: 548410 | GridSize: 300
Generation 376 | Revalues: 549640 | GridSize: 298
Generation 377 | Revalues: 550790 | GridSize: 300
Generation 378 | Revalues: 552050 | GridSize: 299
Generation 379 | Revalues: 553240 | GridSize: 300
Generation 380 | Revalues: 554440 | GridSize: 300
Generation 381 | Revalues: 555500 | GridSize: 300
Generation 382 | Revalues: 556510 | GridSize: 300
Generation 383 | Revalues: 557540 | GridSize: 300
Generation 384 | Revalues: 558560 | GridSize: 299
Generation 385 | Revalues: 559620 | GridSize: 300
Generation 386 | Revalues: 560670 | GridSize: 300
Generation 387 | Revalues: 561710 | GridSize: 297
Generation 388 | Revalues: 562800 | GridSize: 300
Generation 389 | Revalues: 563810 | GridSize: 300
Generation 390 | Revalues: 564900 | GridSize: 300
Generation 391 | Revalues: 565930 | GridSize: 300
Generation 392 | Revalues: 567040 | GridSize: 300
Generation 393 | Revalues: 568230 | GridSize: 300
Generation 394 | Revalues: 569280 | GridSize: 300
Generation 395 | Revalues: 570500 | GridSize: 299
Generation 396 | Revalues: 571640 | GridSize: 300
Generation 397 | Revalues: 572750 | GridSize: 300
Generation 398 | Revalues: 573790 | GridSize: 300
Generation 399 | Revalues: 574900 | GridSize: 300
Generation 400 | Revalues: 575990 | GridSize: 300
Generation 401 | Revalues: 577020 | GridSize: 300
Generation 402 | Revalues: 578080 | GridSize: 300
