Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 10950 | GridSize: 146
Generation 2 | Revalues: 13860 | GridSize: 177
Generation 3 | Revalues: 16790 | GridSize: 189
Generation 4 | Revalues: 19450 | GridSize: 199
Generation 5 | Revalues: 20940 | GridSize: 211
Generation 6 | Revalues: 22460 | GridSize: 222
Generation 7 | Revalues: 24460 | GridSize: 204
Generation 8 | Revalues: 25740 | GridSize: 214
Generation 9 | Revalues: 27230 | GridSize: 208
Generation 10 | Revalues: 28670 | GridSize: 212
Generation 11 | Revalues: 30460 | GridSize: 213
Generation 12 | Revalues: 32070 | GridSize: 192
Generation 13 | Revalues: 34190 | GridSize: 171
Generation 14 | Revalues: 35470 | GridSize: 182
Generation 15 | Revalues: 37010 | GridSize: 198
Generation 16 | Revalues: 38250 | GridSize: 213
Generation 17 | Revalues: 39880 | GridSize: 218
Generation 18 | Revalues: 41450 | GridSize: 223
Generation 19 | Revalues: 42550 | GridSize: 231
Generation 20 | Revalues: 43680 | GridSize: 233
Generation 21 | Revalues: 44740 | GridSize: 246
Generation 22 | Revalues: 45920 | GridSize: 252
Generation 23 | Revalues: 47120 | GridSize: 260
Generation 24 | Revalues: 48340 | GridSize: 265
Generation 25 | Revalues: 49680 | GridSize: 274
Generation 26 | Revalues: 50810 | GridSize: 280
Generation 27 | Revalues: 51980 | GridSize: 282
Generation 28 | Revalues: 53010 | GridSize: 277
Generation 29 | Revalues: 54190 | GridSize: 283
Generation 30 | Revalues: 55240 | GridSize: 290
Generation 31 | Revalues: 56520 | GridSize: 299
Generation 32 | Revalues: 57650 | GridSize: 293
Generation 33 | Revalues: 58860 | GridSize: 286
Generation 34 | Revalues: 60160 | GridSize: 297
Generation 35 | Revalues: 61360 | GridSize: 300
Generation 36 | Revalues: 62510 | GridSize: 298
Generation 37 | Revalues: 63670 | GridSize: 286
Generation 38 | Revalues: 64870 | GridSize: 285
Generation 39 | Revalues: 66120 | GridSize: 290
Generation 40 | Revalues: 67600 | GridSize: 286
Generation 41 | Revalues: 68790 | GridSize: 290
Generation 42 | Revalues: 69900 | GridSize: 292
Generation 43 | Revalues: 71140 | GridSize: 300
Generation 44 | Revalues: 72200 | GridSize: 300
Generation 45 | Revalues: 73330 | GridSize: 292
Generation 46 | Revalues: 74360 | GridSize: 300
Generation 47 | Revalues: 75470 | GridSize: 300
Generation 48 | Revalues: 76620 | GridSize: 300
Generation 49 | Revalues: 77640 | GridSize: 300
Generation 50 | Revalues: 78680 | GridSize: 300
Generation 51 | Revalues: 79920 | GridSize: 300
Generation 52 | Revalues: 80970 | GridSize: 300
Generation 53 | Revalues: 81990 | GridSize: 298
Generation 54 | Revalues: 83170 | GridSize: 296
Generation 55 | Revalues: 84240 | GridSize: 300
Generation 56 | Revalues: 85430 | GridSize: 299
Generation 57 | Revalues: 86440 | GridSize: 300
Generation 58 | Revalues: 87470 | GridSize: 300
Generation 59 | Revalues: 88530 | GridSize: 295
Generation 60 | Revalues: 89640 | GridSize: 300
Generation 61 | Revalues: 90690 | GridSize: 300
Generation 62 | Revalues: 91720 | GridSize: 299
Generation 63 | Revalues: 92800 | GridSize: 300
Generation 64 | Revalues: 93950 | GridSize: 300
Generation 65 | Revalues: 95000 | GridSize: 300
Generation 66 | Revalues: 96010 | GridSize: 299
Generation 67 | Revalues: 97010 | GridSize: 300
Generation 68 | Revalues: 98320 | GridSize: 298
Generation 69 | Revalues: 99360 | GridSize: 293
Generation 70 | Revalues: 100530 | GridSize: 298
Generation 71 | Revalues: 101630 | GridSize: 300
Generation 72 | Revalues: 102700 | GridSize: 298
Generation 73 | Revalues: 103790 | GridSize: 299
Generation 74 | Revalues: 104860 | GridSize: 300
Generation 75 | Revalues: 106030 | GridSize: 299
Generation 76 | Revalues: 107070 | GridSize: 300
Generation 77 | Revalues: 108070 | GridSize: 300
Generation 78 | Revalues: 109080 | GridSize: 295
Generation 79 | Revalues: 110450 | GridSize: 300
Generation 80 | Revalues: 111560 | GridSize: 300
Generation 81 | Revalues: 112640 | GridSize: 300
Generation 82 | Revalues: 113880 | GridSize: 300
Generation 83 | Revalues: 114970 | GridSize: 293
Generation 84 | Revalues: 116050 | GridSize: 293
Generation 85 | Revalues: 117050 | GridSize: 299
Generation 86 | Revalues: 118190 | GridSize: 294
Generation 87 | Revalues: 119250 | GridSize: 300
Generation 88 | Revalues: 120280 | GridSize: 298
Generation 89 | Revalues: 121460 | GridSize: 296
Generation 90 | Revalues: 122510 | GridSize: 298
Generation 91 | Revalues: 123650 | GridSize: 300
Generation 92 | Revalues: 124650 | GridSize: 300
Generation 93 | Revalues: 125750 | GridSize: 300
Generation 94 | Revalues: 126850 | GridSize: 296
Generation 95 | Revalues: 127900 | GridSize: 300
Generation 96 | Revalues: 129040 | GridSize: 300
Generation 97 | Revalues: 130050 | GridSize: 300
Generation 98 | Revalues: 131160 | GridSize: 300
Generation 99 | Revalues: 132190 | GridSize: 300
Generation 100 | Revalues: 133200 | GridSize: 298
Generation 101 | Revalues: 134310 | GridSize: 300
Generation 102 | Revalues: 135360 | GridSize: 300
Generation 103 | Revalues: 136370 | GridSize: 300
Generation 104 | Revalues: 137380 | GridSize: 297
Generation 105 | Revalues: 138380 | GridSize: 300
Generation 106 | Revalues: 139630 | GridSize: 300
Generation 107 | Revalues: 140630 | GridSize: 300
Generation 108 | Revalues: 141720 | GridSize: 295
Generation 109 | Revalues: 142730 | GridSize: 300
Generation 110 | Revalues: 143770 | GridSize: 300
Generation 111 | Revalues: 144780 | GridSize: 298
Generation 112 | Revalues: 145800 | GridSize: 300
Generation 113 | Revalues: 146870 | GridSize: 297
Generation 114 | Revalues: 147930 | GridSize: 300
Generation 115 | Revalues: 148950 | GridSize: 300
Generation 116 | Revalues: 149980 | GridSize: 299
Generation 117 | Revalues: 151060 | GridSize: 296
Generation 118 | Revalues: 152140 | GridSize: 299
Generation 119 | Revalues: 153210 | GridSize: 297
Generation 120 | Revalues: 154210 | GridSize: 300
Generation 121 | Revalues: 155260 | GridSize: 300
Generation 122 | Revalues: 156370 | GridSize: 299
Generation 123 | Revalues: 157390 | GridSize: 298
Generation 124 | Revalues: 158430 | GridSize: 299
Generation 125 | Revalues: 159430 | GridSize: 299
Generation 126 | Revalues: 160580 | GridSize: 299
