Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 21630 | GridSize: 256
Generation 2 | Revalues: 25690 | GridSize: 290
Generation 3 | Revalues: 27100 | GridSize: 298
Generation 4 | Revalues: 30280 | GridSize: 294
Generation 5 | Revalues: 31670 | GridSize: 292
Generation 6 | Revalues: 33610 | GridSize: 298
Generation 7 | Revalues: 35850 | GridSize: 300
Generation 8 | Revalues: 37200 | GridSize: 300
Generation 9 | Revalues: 38650 | GridSize: 298
Generation 10 | Revalues: 41590 | GridSize: 298
Generation 11 | Revalues: 43040 | GridSize: 300
Generation 12 | Revalues: 44130 | GridSize: 300
Generation 13 | Revalues: 45570 | GridSize: 300
Generation 14 | Revalues: 47620 | GridSize: 297
Generation 15 | Revalues: 48970 | GridSize: 290
Generation 16 | Revalues: 50360 | GridSize: 300
Generation 17 | Revalues: 51690 | GridSize: 298
Generation 18 | Revalues: 53110 | GridSize: 296
Generation 19 | Revalues: 54590 | GridSize: 300
Generation 20 | Revalues: 55750 | GridSize: 296
Generation 21 | Revalues: 56940 | GridSize: 300
Generation 22 | Revalues: 58310 | GridSize: 300
Generation 23 | Revalues: 59800 | GridSize: 297
Generation 24 | Revalues: 61340 | GridSize: 300
Generation 25 | Revalues: 62910 | GridSize: 293
Generation 26 | Revalues: 64470 | GridSize: 298
Generation 27 | Revalues: 65800 | GridSize: 300
Generation 28 | Revalues: 67130 | GridSize: 291
Generation 29 | Revalues: 68480 | GridSize: 300
Generation 30 | Revalues: 69560 | GridSize: 300
Generation 31 | Revalues: 70800 | GridSize: 300
Generation 32 | Revalues: 71900 | GridSize: 299
Generation 33 | Revalues: 73000 | GridSize: 300
Generation 34 | Revalues: 74130 | GridSize: 300
Generation 35 | Revalues: 75310 | GridSize: 299
Generation 36 | Revalues: 76510 | GridSize: 300
Generation 37 | Revalues: 77730 | GridSize: 300
Generation 38 | Revalues: 79090 | GridSize: 300
Generation 39 | Revalues: 80620 | GridSize: 300
Generation 40 | Revalues: 81680 | GridSize: 300
Generation 41 | Revalues: 82960 | GridSize: 300
Generation 42 | Revalues: 84260 | GridSize: 300
Generation 43 | Revalues: 85530 | GridSize: 297
Generation 44 | Revalues: 86730 | GridSize: 300
