Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 23230 | GridSize: 239
Generation 2 | Revalues: 26370 | GridSize: 227
Generation 3 | Revalues: 28790 | GridSize: 225
Generation 4 | Revalues: 31180 | GridSize: 265
Generation 5 | Revalues: 32730 | GridSize: 271
Generation 6 | Revalues: 34240 | GridSize: 282
Generation 7 | Revalues: 35860 | GridSize: 278
Generation 8 | Revalues: 37190 | GridSize: 285
Generation 9 | Revalues: 38620 | GridSize: 280
Generation 10 | Revalues: 39830 | GridSize: 290
Generation 11 | Revalues: 41860 | GridSize: 284
Generation 12 | Revalues: 43300 | GridSize: 291
Generation 13 | Revalues: 45200 | GridSize: 282
Generation 14 | Revalues: 46690 | GridSize: 297
Generation 15 | Revalues: 47940 | GridSize: 294
Generation 16 | Revalues: 49010 | GridSize: 300
Generation 17 | Revalues: 50490 | GridSize: 299
Generation 18 | Revalues: 51820 | GridSize: 299
Generation 19 | Revalues: 53150 | GridSize: 297
Generation 20 | Revalues: 54470 | GridSize: 291
Generation 21 | Revalues: 55640 | GridSize: 297
Generation 22 | Revalues: 57220 | GridSize: 298
Generation 23 | Revalues: 58570 | GridSize: 293
Generation 24 | Revalues: 60050 | GridSize: 295
Generation 25 | Revalues: 61410 | GridSize: 299
Generation 26 | Revalues: 62960 | GridSize: 294
Generation 27 | Revalues: 64110 | GridSize: 295
Generation 28 | Revalues: 65530 | GridSize: 299
Generation 29 | Revalues: 66700 | GridSize: 294
Generation 30 | Revalues: 68160 | GridSize: 291
Generation 31 | Revalues: 69300 | GridSize: 292
Generation 32 | Revalues: 70580 | GridSize: 296
Generation 33 | Revalues: 71970 | GridSize: 293
Generation 34 | Revalues: 73360 | GridSize: 293
Generation 35 | Revalues: 75090 | GridSize: 290
Generation 36 | Revalues: 76530 | GridSize: 300
Generation 37 | Revalues: 77560 | GridSize: 300
Generation 38 | Revalues: 78590 | GridSize: 300
Generation 39 | Revalues: 79940 | GridSize: 294
Generation 40 | Revalues: 81220 | GridSize: 295
