Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 28790 | GridSize: 299
Generation 2 | Revalues: 32490 | GridSize: 300
Generation 3 | Revalues: 39280 | GridSize: 300
Generation 4 | Revalues: 42800 | GridSize: 298
Generation 5 | Revalues: 46400 | GridSize: 300
Generation 6 | Revalues: 48300 | GridSize: 300
Generation 7 | Revalues: 49820 | GridSize: 300
Generation 8 | Revalues: 51470 | GridSize: 300
Generation 9 | Revalues: 53400 | GridSize: 300
Generation 10 | Revalues: 55360 | GridSize: 299
Generation 11 | Revalues: 58470 | GridSize: 300
Generation 12 | Revalues: 60680 | GridSize: 300
Generation 13 | Revalues: 62450 | GridSize: 300
Generation 14 | Revalues: 63970 | GridSize: 300
Generation 15 | Revalues: 65140 | GridSize: 300
Generation 16 | Revalues: 66590 | GridSize: 300
Generation 17 | Revalues: 67920 | GridSize: 297
Generation 18 | Revalues: 69390 | GridSize: 300
Generation 19 | Revalues: 71330 | GridSize: 300
Generation 20 | Revalues: 72620 | GridSize: 300
Generation 21 | Revalues: 73950 | GridSize: 299
Generation 22 | Revalues: 75710 | GridSize: 298
Generation 23 | Revalues: 77100 | GridSize: 300
Generation 24 | Revalues: 78670 | GridSize: 300
Generation 25 | Revalues: 79800 | GridSize: 300
Generation 26 | Revalues: 81670 | GridSize: 299
Generation 27 | Revalues: 83170 | GridSize: 300
Generation 28 | Revalues: 84310 | GridSize: 300
Generation 29 | Revalues: 85830 | GridSize: 299
Generation 30 | Revalues: 87350 | GridSize: 300
Generation 31 | Revalues: 88560 | GridSize: 300
Generation 32 | Revalues: 89950 | GridSize: 300
Generation 33 | Revalues: 91230 | GridSize: 300
Generation 34 | Revalues: 92460 | GridSize: 300
Generation 35 | Revalues: 93980 | GridSize: 300
Generation 36 | Revalues: 95510 | GridSize: 300
Generation 37 | Revalues: 96740 | GridSize: 300
Generation 38 | Revalues: 97850 | GridSize: 300
Generation 39 | Revalues: 99510 | GridSize: 300
Generation 40 | Revalues: 100670 | GridSize: 300
Generation 41 | Revalues: 102130 | GridSize: 300
Generation 42 | Revalues: 103690 | GridSize: 300
Generation 43 | Revalues: 104850 | GridSize: 299
Generation 44 | Revalues: 106210 | GridSize: 300
Generation 45 | Revalues: 107590 | GridSize: 300
Generation 46 | Revalues: 109220 | GridSize: 300
Generation 47 | Revalues: 110670 | GridSize: 300
Generation 48 | Revalues: 111860 | GridSize: 300
Generation 49 | Revalues: 113320 | GridSize: 300
Generation 50 | Revalues: 114480 | GridSize: 300
Generation 51 | Revalues: 115970 | GridSize: 300
Generation 52 | Revalues: 117220 | GridSize: 300
Generation 53 | Revalues: 118620 | GridSize: 300
Generation 54 | Revalues: 119800 | GridSize: 300
Generation 55 | Revalues: 121280 | GridSize: 300
Generation 56 | Revalues: 122490 | GridSize: 300
Generation 57 | Revalues: 123800 | GridSize: 300
Generation 58 | Revalues: 125440 | GridSize: 300
Generation 59 | Revalues: 126740 | GridSize: 300
Generation 60 | Revalues: 128020 | GridSize: 300
