Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 27510 | GridSize: 294
Generation 2 | Revalues: 34160 | GridSize: 300
Generation 3 | Revalues: 36260 | GridSize: 300
Generation 4 | Revalues: 41420 | GridSize: 300
Generation 5 | Revalues: 43830 | GridSize: 300
Generation 6 | Revalues: 46000 | GridSize: 292
Generation 7 | Revalues: 49720 | GridSize: 299
Generation 8 | Revalues: 52870 | GridSize: 294
Generation 9 | Revalues: 54720 | GridSize: 298
Generation 10 | Revalues: 57610 | GridSize: 298
Generation 11 | Revalues: 59150 | GridSize: 297
Generation 12 | Revalues: 61720 | GridSize: 294
Generation 13 | Revalues: 63960 | GridSize: 300
Generation 14 | Revalues: 65340 | GridSize: 297
Generation 15 | Revalues: 66620 | GridSize: 300
Generation 16 | Revalues: 69150 | GridSize: 300
Generation 17 | Revalues: 70830 | GridSize: 300
Generation 18 | Revalues: 72860 | GridSize: 300
Generation 19 | Revalues: 74300 | GridSize: 296
Generation 20 | Revalues: 75590 | GridSize: 300
Generation 21 | Revalues: 77300 | GridSize: 300
Generation 22 | Revalues: 80480 | GridSize: 299
Generation 23 | Revalues: 81820 | GridSize: 298
Generation 24 | Revalues: 83330 | GridSize: 300
Generation 25 | Revalues: 84900 | GridSize: 300
Generation 26 | Revalues: 86120 | GridSize: 300
Generation 27 | Revalues: 87460 | GridSize: 300
Generation 28 | Revalues: 89410 | GridSize: 300
Generation 29 | Revalues: 91240 | GridSize: 300
Generation 30 | Revalues: 92730 | GridSize: 299
Generation 31 | Revalues: 94040 | GridSize: 299
Generation 32 | Revalues: 95270 | GridSize: 297
Generation 33 | Revalues: 96640 | GridSize: 300
Generation 34 | Revalues: 98220 | GridSize: 299
Generation 35 | Revalues: 99430 | GridSize: 300
Generation 36 | Revalues: 100540 | GridSize: 300
Generation 37 | Revalues: 102030 | GridSize: 298
Generation 38 | Revalues: 103370 | GridSize: 299
Generation 39 | Revalues: 104620 | GridSize: 299
Generation 40 | Revalues: 106010 | GridSize: 300
Generation 41 | Revalues: 107370 | GridSize: 300
Generation 42 | Revalues: 109140 | GridSize: 299
Generation 43 | Revalues: 110750 | GridSize: 300
Generation 44 | Revalues: 112310 | GridSize: 300
Generation 45 | Revalues: 113780 | GridSize: 300
Generation 46 | Revalues: 114960 | GridSize: 297
Generation 47 | Revalues: 116090 | GridSize: 300
Generation 48 | Revalues: 117210 | GridSize: 299
Generation 49 | Revalues: 118480 | GridSize: 300
Generation 50 | Revalues: 119670 | GridSize: 299
Generation 51 | Revalues: 120880 | GridSize: 300
Generation 52 | Revalues: 122280 | GridSize: 300
Generation 53 | Revalues: 123500 | GridSize: 300
Generation 54 | Revalues: 124830 | GridSize: 300
Generation 55 | Revalues: 126320 | GridSize: 298
Generation 56 | Revalues: 127790 | GridSize: 300
Generation 57 | Revalues: 129230 | GridSize: 300
Generation 58 | Revalues: 130310 | GridSize: 300
Generation 59 | Revalues: 131460 | GridSize: 300
Generation 60 | Revalues: 132720 | GridSize: 300
Generation 61 | Revalues: 133990 | GridSize: 300
Generation 62 | Revalues: 135300 | GridSize: 300
Generation 63 | Revalues: 136380 | GridSize: 294
Generation 64 | Revalues: 137480 | GridSize: 300
Generation 65 | Revalues: 138690 | GridSize: 298
Generation 66 | Revalues: 139840 | GridSize: 295
Generation 67 | Revalues: 141160 | GridSize: 298
Generation 68 | Revalues: 142480 | GridSize: 299
Generation 69 | Revalues: 143660 | GridSize: 300
Generation 70 | Revalues: 145000 | GridSize: 300
Generation 71 | Revalues: 146250 | GridSize: 300
Generation 72 | Revalues: 147610 | GridSize: 299
Generation 73 | Revalues: 149150 | GridSize: 300
Generation 74 | Revalues: 150640 | GridSize: 300
Generation 75 | Revalues: 151790 | GridSize: 300
Generation 76 | Revalues: 152890 | GridSize: 299
Generation 77 | Revalues: 154220 | GridSize: 300
Generation 78 | Revalues: 155330 | GridSize: 300
Generation 79 | Revalues: 156510 | GridSize: 300
Generation 80 | Revalues: 158120 | GridSize: 300
Generation 81 | Revalues: 159370 | GridSize: 300
Generation 82 | Revalues: 160400 | GridSize: 300
Generation 83 | Revalues: 161450 | GridSize: 300
Generation 84 | Revalues: 162550 | GridSize: 297
Generation 85 | Revalues: 163730 | GridSize: 299
Generation 86 | Revalues: 165190 | GridSize: 300
Generation 87 | Revalues: 166320 | GridSize: 300
Generation 88 | Revalues: 167580 | GridSize: 300
Generation 89 | Revalues: 168750 | GridSize: 300
Generation 90 | Revalues: 170340 | GridSize: 299
Generation 91 | Revalues: 171950 | GridSize: 299
Generation 92 | Revalues: 173290 | GridSize: 300
Generation 93 | Revalues: 174410 | GridSize: 300
Generation 94 | Revalues: 175580 | GridSize: 298
Generation 95 | Revalues: 176700 | GridSize: 300
Generation 96 | Revalues: 178030 | GridSize: 300
Generation 97 | Revalues: 179390 | GridSize: 299
Generation 98 | Revalues: 180660 | GridSize: 300
Generation 99 | Revalues: 181690 | GridSize: 300
Generation 100 | Revalues: 182930 | GridSize: 300
Generation 101 | Revalues: 184150 | GridSize: 298
Generation 102 | Revalues: 185280 | GridSize: 299
Generation 103 | Revalues: 186380 | GridSize: 300
Generation 104 | Revalues: 187840 | GridSize: 300
Generation 105 | Revalues: 189080 | GridSize: 300
Generation 106 | Revalues: 190260 | GridSize: 300
Generation 107 | Revalues: 191310 | GridSize: 299
Generation 108 | Revalues: 192490 | GridSize: 300
Generation 109 | Revalues: 193710 | GridSize: 300
Generation 110 | Revalues: 194770 | GridSize: 300
Generation 111 | Revalues: 195870 | GridSize: 300
Generation 112 | Revalues: 196960 | GridSize: 297
Generation 113 | Revalues: 198370 | GridSize: 300
Generation 114 | Revalues: 199580 | GridSize: 300
Generation 115 | Revalues: 200820 | GridSize: 300
Generation 116 | Revalues: 201920 | GridSize: 299
Generation 117 | Revalues: 203170 | GridSize: 300
Generation 118 | Revalues: 204200 | GridSize: 300
Generation 119 | Revalues: 205270 | GridSize: 300
Generation 120 | Revalues: 206320 | GridSize: 300
Generation 121 | Revalues: 207540 | GridSize: 300
Generation 122 | Revalues: 208680 | GridSize: 300
Generation 123 | Revalues: 209810 | GridSize: 299
