Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 32530 | GridSize: 236
Generation 2 | Revalues: 41390 | GridSize: 260
Generation 3 | Revalues: 44050 | GridSize: 258
Generation 4 | Revalues: 46440 | GridSize: 251
Generation 5 | Revalues: 50470 | GridSize: 257
Generation 6 | Revalues: 55070 | GridSize: 299
Generation 7 | Revalues: 57270 | GridSize: 300
Generation 8 | Revalues: 59390 | GridSize: 299
Generation 9 | Revalues: 61700 | GridSize: 297
Generation 10 | Revalues: 63770 | GridSize: 300
Generation 11 | Revalues: 65860 | GridSize: 300
Generation 12 | Revalues: 67870 | GridSize: 299
Generation 13 | Revalues: 69970 | GridSize: 300
Generation 14 | Revalues: 71540 | GridSize: 299
Generation 15 | Revalues: 72710 | GridSize: 296
Generation 16 | Revalues: 73870 | GridSize: 297
Generation 17 | Revalues: 75550 | GridSize: 284
Generation 18 | Revalues: 78170 | GridSize: 296
Generation 19 | Revalues: 80300 | GridSize: 300
Generation 20 | Revalues: 81950 | GridSize: 300
Generation 21 | Revalues: 83630 | GridSize: 300
Generation 22 | Revalues: 84910 | GridSize: 299
Generation 23 | Revalues: 86470 | GridSize: 300
Generation 24 | Revalues: 87990 | GridSize: 300
Generation 25 | Revalues: 89750 | GridSize: 297
Generation 26 | Revalues: 91380 | GridSize: 296
Generation 27 | Revalues: 92910 | GridSize: 300
Generation 28 | Revalues: 94190 | GridSize: 300
Generation 29 | Revalues: 95780 | GridSize: 300
Generation 30 | Revalues: 97220 | GridSize: 300
Generation 31 | Revalues: 99270 | GridSize: 297
Generation 32 | Revalues: 100540 | GridSize: 300
Generation 33 | Revalues: 102050 | GridSize: 300
Generation 34 | Revalues: 104230 | GridSize: 296
Generation 35 | Revalues: 105480 | GridSize: 300
Generation 36 | Revalues: 106760 | GridSize: 299
Generation 37 | Revalues: 108320 | GridSize: 300
Generation 38 | Revalues: 110190 | GridSize: 297
Generation 39 | Revalues: 111570 | GridSize: 298
Generation 40 | Revalues: 113040 | GridSize: 298
Generation 41 | Revalues: 114670 | GridSize: 300
Generation 42 | Revalues: 116130 | GridSize: 297
Generation 43 | Revalues: 117520 | GridSize: 297
Generation 44 | Revalues: 118950 | GridSize: 300
Generation 45 | Revalues: 120280 | GridSize: 300
Generation 46 | Revalues: 121780 | GridSize: 300
Generation 47 | Revalues: 123320 | GridSize: 295
Generation 48 | Revalues: 124850 | GridSize: 294
Generation 49 | Revalues: 125950 | GridSize: 300
Generation 50 | Revalues: 127600 | GridSize: 300
Generation 51 | Revalues: 128880 | GridSize: 300
Generation 52 | Revalues: 130600 | GridSize: 300
Generation 53 | Revalues: 131740 | GridSize: 300
Generation 54 | Revalues: 133000 | GridSize: 297
Generation 55 | Revalues: 134230 | GridSize: 297
Generation 56 | Revalues: 135350 | GridSize: 300
Generation 57 | Revalues: 136410 | GridSize: 300
Generation 58 | Revalues: 137580 | GridSize: 300
Generation 59 | Revalues: 138800 | GridSize: 300
Generation 60 | Revalues: 140110 | GridSize: 300
Generation 61 | Revalues: 141420 | GridSize: 300
Generation 62 | Revalues: 142980 | GridSize: 291
Generation 63 | Revalues: 144240 | GridSize: 300
Generation 64 | Revalues: 145520 | GridSize: 300
Generation 65 | Revalues: 146610 | GridSize: 300
Generation 66 | Revalues: 147820 | GridSize: 298
Generation 67 | Revalues: 149410 | GridSize: 296
Generation 68 | Revalues: 150780 | GridSize: 294
Generation 69 | Revalues: 152380 | GridSize: 296
Generation 70 | Revalues: 153650 | GridSize: 293
Generation 71 | Revalues: 155150 | GridSize: 298
Generation 72 | Revalues: 156850 | GridSize: 300
Generation 73 | Revalues: 158360 | GridSize: 296
Generation 74 | Revalues: 159590 | GridSize: 300
Generation 75 | Revalues: 160750 | GridSize: 300
Generation 76 | Revalues: 162440 | GridSize: 300
Generation 77 | Revalues: 163830 | GridSize: 300
Generation 78 | Revalues: 165360 | GridSize: 300
Generation 79 | Revalues: 166560 | GridSize: 300
Generation 80 | Revalues: 167800 | GridSize: 300
Generation 81 | Revalues: 168910 | GridSize: 300
Generation 82 | Revalues: 170520 | GridSize: 298
Generation 83 | Revalues: 171840 | GridSize: 299
Generation 84 | Revalues: 173030 | GridSize: 299
Generation 85 | Revalues: 174520 | GridSize: 300
Generation 86 | Revalues: 176050 | GridSize: 300
Generation 87 | Revalues: 177430 | GridSize: 300
Generation 88 | Revalues: 178520 | GridSize: 300
Generation 89 | Revalues: 179770 | GridSize: 300
Generation 90 | Revalues: 181050 | GridSize: 300
Generation 91 | Revalues: 182340 | GridSize: 298
Generation 92 | Revalues: 183530 | GridSize: 300
Generation 93 | Revalues: 184890 | GridSize: 296
Generation 94 | Revalues: 186470 | GridSize: 300
Generation 95 | Revalues: 187860 | GridSize: 300
Generation 96 | Revalues: 189350 | GridSize: 297
Generation 97 | Revalues: 190570 | GridSize: 295
Generation 98 | Revalues: 191880 | GridSize: 296
Generation 99 | Revalues: 193080 | GridSize: 300
Generation 100 | Revalues: 194500 | GridSize: 300
Generation 101 | Revalues: 196030 | GridSize: 298
Generation 102 | Revalues: 197160 | GridSize: 300
Generation 103 | Revalues: 198470 | GridSize: 300
Generation 104 | Revalues: 199650 | GridSize: 300
Generation 105 | Revalues: 200820 | GridSize: 298
Generation 106 | Revalues: 201960 | GridSize: 300
Generation 107 | Revalues: 203200 | GridSize: 299
Generation 108 | Revalues: 204690 | GridSize: 298
Generation 109 | Revalues: 205970 | GridSize: 300
Generation 110 | Revalues: 207130 | GridSize: 300
Generation 111 | Revalues: 208270 | GridSize: 300
Generation 112 | Revalues: 209420 | GridSize: 300
Generation 113 | Revalues: 210470 | GridSize: 300
Generation 114 | Revalues: 211770 | GridSize: 300
Generation 115 | Revalues: 213030 | GridSize: 296
Generation 116 | Revalues: 214260 | GridSize: 297
Generation 117 | Revalues: 215430 | GridSize: 300
Generation 118 | Revalues: 216640 | GridSize: 300
Generation 119 | Revalues: 217970 | GridSize: 299
Generation 120 | Revalues: 219210 | GridSize: 300
Generation 121 | Revalues: 220270 | GridSize: 300
Generation 122 | Revalues: 221540 | GridSize: 300
Generation 123 | Revalues: 222840 | GridSize: 300
Generation 124 | Revalues: 224160 | GridSize: 300
Generation 125 | Revalues: 225770 | GridSize: 300
Generation 126 | Revalues: 227110 | GridSize: 299
Generation 127 | Revalues: 228430 | GridSize: 300
Generation 128 | Revalues: 230060 | GridSize: 300
Generation 129 | Revalues: 231430 | GridSize: 297
Generation 130 | Revalues: 232810 | GridSize: 300
Generation 131 | Revalues: 234220 | GridSize: 300
Generation 132 | Revalues: 235310 | GridSize: 300
Generation 133 | Revalues: 236420 | GridSize: 298
Generation 134 | Revalues: 237510 | GridSize: 300
Generation 135 | Revalues: 238800 | GridSize: 300
Generation 136 | Revalues: 239950 | GridSize: 300
Generation 137 | Revalues: 241000 | GridSize: 298
Generation 138 | Revalues: 242210 | GridSize: 300
Generation 139 | Revalues: 243350 | GridSize: 300
Generation 140 | Revalues: 244480 | GridSize: 300
Generation 141 | Revalues: 245760 | GridSize: 300
Generation 142 | Revalues: 247030 | GridSize: 300
Generation 143 | Revalues: 248120 | GridSize: 300
Generation 144 | Revalues: 249170 | GridSize: 300
Generation 145 | Revalues: 250330 | GridSize: 299
Generation 146 | Revalues: 251470 | GridSize: 294
Generation 147 | Revalues: 252550 | GridSize: 300
Generation 148 | Revalues: 253610 | GridSize: 300
Generation 149 | Revalues: 254750 | GridSize: 300
Generation 150 | Revalues: 256010 | GridSize: 300
Generation 151 | Revalues: 257130 | GridSize: 300
Generation 152 | Revalues: 258250 | GridSize: 300
Generation 153 | Revalues: 259410 | GridSize: 300
Generation 154 | Revalues: 260850 | GridSize: 297
Generation 155 | Revalues: 261920 | GridSize: 300
Generation 156 | Revalues: 263130 | GridSize: 300
Generation 157 | Revalues: 264160 | GridSize: 300
Generation 158 | Revalues: 265390 | GridSize: 300
Generation 159 | Revalues: 266430 | GridSize: 300
Generation 160 | Revalues: 267760 | GridSize: 300
Generation 161 | Revalues: 268900 | GridSize: 300
Generation 162 | Revalues: 270120 | GridSize: 300
Generation 163 | Revalues: 271250 | GridSize: 299
Generation 164 | Revalues: 272380 | GridSize: 300
Generation 165 | Revalues: 273410 | GridSize: 300
Generation 166 | Revalues: 274520 | GridSize: 300
Generation 167 | Revalues: 275810 | GridSize: 299
Generation 168 | Revalues: 276910 | GridSize: 299
Generation 169 | Revalues: 277950 | GridSize: 300
Generation 170 | Revalues: 279040 | GridSize: 299
Generation 171 | Revalues: 280210 | GridSize: 300
Generation 172 | Revalues: 281390 | GridSize: 300
Generation 173 | Revalues: 282410 | GridSize: 300
Generation 174 | Revalues: 283670 | GridSize: 300
Generation 175 | Revalues: 284950 | GridSize: 298
Generation 176 | Revalues: 286370 | GridSize: 300
Generation 177 | Revalues: 287660 | GridSize: 300
Generation 178 | Revalues: 288750 | GridSize: 300
Generation 179 | Revalues: 289830 | GridSize: 300
Generation 180 | Revalues: 291150 | GridSize: 300
Generation 181 | Revalues: 292340 | GridSize: 300
Generation 182 | Revalues: 293520 | GridSize: 299
Generation 183 | Revalues: 294610 | GridSize: 300
Generation 184 | Revalues: 295640 | GridSize: 300
Generation 185 | Revalues: 296720 | GridSize: 300
Generation 186 | Revalues: 298370 | GridSize: 300
Generation 187 | Revalues: 299520 | GridSize: 300
Generation 188 | Revalues: 300590 | GridSize: 299
Generation 189 | Revalues: 301630 | GridSize: 299
Generation 190 | Revalues: 302680 | GridSize: 300
Generation 191 | Revalues: 303890 | GridSize: 300
Generation 192 | Revalues: 305160 | GridSize: 300
Generation 193 | Revalues: 306830 | GridSize: 300
Generation 194 | Revalues: 307990 | GridSize: 300
Generation 195 | Revalues: 309110 | GridSize: 299
Generation 196 | Revalues: 310180 | GridSize: 300
Generation 197 | Revalues: 311590 | GridSize: 300
Generation 198 | Revalues: 312870 | GridSize: 300
Generation 199 | Revalues: 313970 | GridSize: 300
Generation 200 | Revalues: 315040 | GridSize: 298
Generation 201 | Revalues: 316190 | GridSize: 300
Generation 202 | Revalues: 317190 | GridSize: 300
Generation 203 | Revalues: 318290 | GridSize: 300
Generation 204 | Revalues: 319350 | GridSize: 300
Generation 205 | Revalues: 320380 | GridSize: 299
Generation 206 | Revalues: 321460 | GridSize: 300
Generation 207 | Revalues: 322650 | GridSize: 300
Generation 208 | Revalues: 323860 | GridSize: 300
Generation 209 | Revalues: 325030 | GridSize: 295
Generation 210 | Revalues: 326140 | GridSize: 300
