Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 29090 | GridSize: 300
Generation 2 | Revalues: 31190 | GridSize: 300
Generation 3 | Revalues: 35510 | GridSize: 296
Generation 4 | Revalues: 37360 | GridSize: 299
Generation 5 | Revalues: 39310 | GridSize: 300
Generation 6 | Revalues: 43860 | GridSize: 288
Generation 7 | Revalues: 49040 | GridSize: 290
Generation 8 | Revalues: 50990 | GridSize: 300
Generation 9 | Revalues: 53980 | GridSize: 299
Generation 10 | Revalues: 55800 | GridSize: 298
Generation 11 | Revalues: 57660 | GridSize: 300
Generation 12 | Revalues: 59340 | GridSize: 299
Generation 13 | Revalues: 62240 | GridSize: 300
Generation 14 | Revalues: 63610 | GridSize: 300
Generation 15 | Revalues: 64840 | GridSize: 300
Generation 16 | Revalues: 66550 | GridSize: 297
Generation 17 | Revalues: 68680 | GridSize: 299
Generation 18 | Revalues: 70170 | GridSize: 300
Generation 19 | Revalues: 71380 | GridSize: 300
Generation 20 | Revalues: 72760 | GridSize: 300
Generation 21 | Revalues: 74240 | GridSize: 300
Generation 22 | Revalues: 75930 | GridSize: 300
Generation 23 | Revalues: 77670 | GridSize: 299
Generation 24 | Revalues: 79090 | GridSize: 300
Generation 25 | Revalues: 80610 | GridSize: 300
Generation 26 | Revalues: 81900 | GridSize: 300
Generation 27 | Revalues: 83340 | GridSize: 296
Generation 28 | Revalues: 84620 | GridSize: 298
Generation 29 | Revalues: 86030 | GridSize: 300
Generation 30 | Revalues: 87380 | GridSize: 300
Generation 31 | Revalues: 88530 | GridSize: 300
Generation 32 | Revalues: 89680 | GridSize: 298
Generation 33 | Revalues: 90780 | GridSize: 296
Generation 34 | Revalues: 91950 | GridSize: 299
Generation 35 | Revalues: 93750 | GridSize: 295
Generation 36 | Revalues: 94950 | GridSize: 299
Generation 37 | Revalues: 96920 | GridSize: 299
Generation 38 | Revalues: 98570 | GridSize: 300
Generation 39 | Revalues: 99710 | GridSize: 300
Generation 40 | Revalues: 101490 | GridSize: 300
Generation 41 | Revalues: 103060 | GridSize: 299
Generation 42 | Revalues: 104090 | GridSize: 300
Generation 43 | Revalues: 105410 | GridSize: 299
Generation 44 | Revalues: 106730 | GridSize: 300
Generation 45 | Revalues: 108180 | GridSize: 299
Generation 46 | Revalues: 109490 | GridSize: 300
Generation 47 | Revalues: 110780 | GridSize: 300
Generation 48 | Revalues: 112070 | GridSize: 298
Generation 49 | Revalues: 113310 | GridSize: 298
Generation 50 | Revalues: 114800 | GridSize: 300
Generation 51 | Revalues: 116070 | GridSize: 300
Generation 52 | Revalues: 117340 | GridSize: 300
Generation 53 | Revalues: 118460 | GridSize: 298
Generation 54 | Revalues: 119530 | GridSize: 298
Generation 55 | Revalues: 120680 | GridSize: 300
Generation 56 | Revalues: 121840 | GridSize: 300
Generation 57 | Revalues: 122930 | GridSize: 300
Generation 58 | Revalues: 124410 | GridSize: 300
Generation 59 | Revalues: 125710 | GridSize: 300
Generation 60 | Revalues: 126810 | GridSize: 296
Generation 61 | Revalues: 128080 | GridSize: 298
Generation 62 | Revalues: 129690 | GridSize: 299
Generation 63 | Revalues: 131050 | GridSize: 300
Generation 64 | Revalues: 132180 | GridSize: 296
Generation 65 | Revalues: 133430 | GridSize: 300
Generation 66 | Revalues: 134850 | GridSize: 300
Generation 67 | Revalues: 136210 | GridSize: 298
Generation 68 | Revalues: 137220 | GridSize: 300
Generation 69 | Revalues: 138440 | GridSize: 300
Generation 70 | Revalues: 139790 | GridSize: 300
Generation 71 | Revalues: 141110 | GridSize: 300
Generation 72 | Revalues: 142330 | GridSize: 299
Generation 73 | Revalues: 143390 | GridSize: 298
Generation 74 | Revalues: 144500 | GridSize: 300
Generation 75 | Revalues: 145550 | GridSize: 300
Generation 76 | Revalues: 146630 | GridSize: 300
Generation 77 | Revalues: 147800 | GridSize: 300
Generation 78 | Revalues: 148800 | GridSize: 300
Generation 79 | Revalues: 149870 | GridSize: 300
Generation 80 | Revalues: 150930 | GridSize: 300
Generation 81 | Revalues: 152100 | GridSize: 296
Generation 82 | Revalues: 153320 | GridSize: 300
Generation 83 | Revalues: 154530 | GridSize: 300
Generation 84 | Revalues: 155630 | GridSize: 299
Generation 85 | Revalues: 156710 | GridSize: 300
Generation 86 | Revalues: 157900 | GridSize: 297
Generation 87 | Revalues: 158900 | GridSize: 300
Generation 88 | Revalues: 160000 | GridSize: 300
Generation 89 | Revalues: 161050 | GridSize: 300
Generation 90 | Revalues: 162140 | GridSize: 299
Generation 91 | Revalues: 163290 | GridSize: 300
Generation 92 | Revalues: 164360 | GridSize: 299
Generation 93 | Revalues: 165380 | GridSize: 300
Generation 94 | Revalues: 166510 | GridSize: 300
Generation 95 | Revalues: 167730 | GridSize: 300
Generation 96 | Revalues: 169030 | GridSize: 300
Generation 97 | Revalues: 170160 | GridSize: 300
Generation 98 | Revalues: 171270 | GridSize: 300
Generation 99 | Revalues: 172430 | GridSize: 300
Generation 100 | Revalues: 173570 | GridSize: 295
Generation 101 | Revalues: 174960 | GridSize: 300
Generation 102 | Revalues: 176040 | GridSize: 295
Generation 103 | Revalues: 177150 | GridSize: 298
Generation 104 | Revalues: 178230 | GridSize: 300
Generation 105 | Revalues: 179450 | GridSize: 300
Generation 106 | Revalues: 180530 | GridSize: 300
Generation 107 | Revalues: 181910 | GridSize: 300
Generation 108 | Revalues: 183080 | GridSize: 300
Generation 109 | Revalues: 184250 | GridSize: 300
Generation 110 | Revalues: 185250 | GridSize: 300
Generation 111 | Revalues: 186380 | GridSize: 300
Generation 112 | Revalues: 187590 | GridSize: 299
Generation 113 | Revalues: 188690 | GridSize: 300
Generation 114 | Revalues: 189830 | GridSize: 300
Generation 115 | Revalues: 190860 | GridSize: 300
Generation 116 | Revalues: 191940 | GridSize: 299
Generation 117 | Revalues: 193160 | GridSize: 300
Generation 118 | Revalues: 194240 | GridSize: 300
Generation 119 | Revalues: 195490 | GridSize: 300
Generation 120 | Revalues: 196730 | GridSize: 300
Generation 121 | Revalues: 197920 | GridSize: 300
Generation 122 | Revalues: 199060 | GridSize: 299
Generation 123 | Revalues: 200340 | GridSize: 299
Generation 124 | Revalues: 201400 | GridSize: 300
Generation 125 | Revalues: 202440 | GridSize: 298
Generation 126 | Revalues: 203610 | GridSize: 300
Generation 127 | Revalues: 204670 | GridSize: 300
Generation 128 | Revalues: 205810 | GridSize: 300
Generation 129 | Revalues: 206860 | GridSize: 300
Generation 130 | Revalues: 208140 | GridSize: 299
Generation 131 | Revalues: 209380 | GridSize: 299
Generation 132 | Revalues: 210440 | GridSize: 300
Generation 133 | Revalues: 211510 | GridSize: 300
Generation 134 | Revalues: 212610 | GridSize: 300
Generation 135 | Revalues: 213730 | GridSize: 300
Generation 136 | Revalues: 214850 | GridSize: 300
Generation 137 | Revalues: 216040 | GridSize: 300
Generation 138 | Revalues: 217170 | GridSize: 300
Generation 139 | Revalues: 218200 | GridSize: 300
Generation 140 | Revalues: 219360 | GridSize: 300
Generation 141 | Revalues: 220600 | GridSize: 299
Generation 142 | Revalues: 221820 | GridSize: 298
Generation 143 | Revalues: 222820 | GridSize: 300
Generation 144 | Revalues: 223940 | GridSize: 298
Generation 145 | Revalues: 225040 | GridSize: 300
Generation 146 | Revalues: 226070 | GridSize: 300
Generation 147 | Revalues: 227140 | GridSize: 300
Generation 148 | Revalues: 228240 | GridSize: 300
Generation 149 | Revalues: 229360 | GridSize: 300
