Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 34290 | GridSize: 300
Generation 2 | Revalues: 40890 | GridSize: 300
Generation 3 | Revalues: 53080 | GridSize: 300
Generation 4 | Revalues: 55890 | GridSize: 300
Generation 5 | Revalues: 58350 | GridSize: 300
Generation 6 | Revalues: 60380 | GridSize: 300
Generation 7 | Revalues: 63460 | GridSize: 300
Generation 8 | Revalues: 65620 | GridSize: 297
Generation 9 | Revalues: 67930 | GridSize: 300
Generation 10 | Revalues: 69990 | GridSize: 300
Generation 11 | Revalues: 72040 | GridSize: 300
Generation 12 | Revalues: 73880 | GridSize: 300
Generation 13 | Revalues: 75560 | GridSize: 299
Generation 14 | Revalues: 77390 | GridSize: 300
Generation 15 | Revalues: 79300 | GridSize: 300
Generation 16 | Revalues: 82800 | GridSize: 300
Generation 17 | Revalues: 85070 | GridSize: 300
Generation 18 | Revalues: 86530 | GridSize: 300
Generation 19 | Revalues: 88780 | GridSize: 300
Generation 20 | Revalues: 90440 | GridSize: 300
Generation 21 | Revalues: 92070 | GridSize: 300
Generation 22 | Revalues: 93740 | GridSize: 300
Generation 23 | Revalues: 95280 | GridSize: 300
Generation 24 | Revalues: 96430 | GridSize: 300
Generation 25 | Revalues: 98820 | GridSize: 300
Generation 26 | Revalues: 100410 | GridSize: 300
Generation 27 | Revalues: 102820 | GridSize: 300
Generation 28 | Revalues: 103950 | GridSize: 300
Generation 29 | Revalues: 105290 | GridSize: 300
Generation 30 | Revalues: 107000 | GridSize: 300
Generation 31 | Revalues: 108520 | GridSize: 300
Generation 32 | Revalues: 110040 | GridSize: 300
Generation 33 | Revalues: 111930 | GridSize: 300
Generation 34 | Revalues: 113230 | GridSize: 300
Generation 35 | Revalues: 114550 | GridSize: 299
Generation 36 | Revalues: 116330 | GridSize: 299
Generation 37 | Revalues: 117670 | GridSize: 300
Generation 38 | Revalues: 119140 | GridSize: 300
Generation 39 | Revalues: 120560 | GridSize: 298
Generation 40 | Revalues: 121990 | GridSize: 300
Generation 41 | Revalues: 123230 | GridSize: 300
Generation 42 | Revalues: 124520 | GridSize: 300
Generation 43 | Revalues: 125750 | GridSize: 300
Generation 44 | Revalues: 127450 | GridSize: 300
Generation 45 | Revalues: 128690 | GridSize: 300
Generation 46 | Revalues: 130110 | GridSize: 299
Generation 47 | Revalues: 131650 | GridSize: 300
Generation 48 | Revalues: 132810 | GridSize: 300
Generation 49 | Revalues: 134480 | GridSize: 300
Generation 50 | Revalues: 136210 | GridSize: 300
Generation 51 | Revalues: 138000 | GridSize: 300
Generation 52 | Revalues: 139340 | GridSize: 300
Generation 53 | Revalues: 140920 | GridSize: 299
Generation 54 | Revalues: 142210 | GridSize: 300
Generation 55 | Revalues: 143740 | GridSize: 300
Generation 56 | Revalues: 145070 | GridSize: 300
Generation 57 | Revalues: 146520 | GridSize: 300
Generation 58 | Revalues: 147600 | GridSize: 300
Generation 59 | Revalues: 148880 | GridSize: 297
Generation 60 | Revalues: 150100 | GridSize: 300
Generation 61 | Revalues: 151500 | GridSize: 300
Generation 62 | Revalues: 152650 | GridSize: 300
Generation 63 | Revalues: 153840 | GridSize: 300
Generation 64 | Revalues: 155170 | GridSize: 300
Generation 65 | Revalues: 156320 | GridSize: 300
Generation 66 | Revalues: 158170 | GridSize: 299
Generation 67 | Revalues: 159630 | GridSize: 299
Generation 68 | Revalues: 161100 | GridSize: 300
Generation 69 | Revalues: 162520 | GridSize: 300
Generation 70 | Revalues: 163630 | GridSize: 300
Generation 71 | Revalues: 164880 | GridSize: 300
Generation 72 | Revalues: 166520 | GridSize: 300
Generation 73 | Revalues: 168170 | GridSize: 300
Generation 74 | Revalues: 169750 | GridSize: 300
Generation 75 | Revalues: 171130 | GridSize: 300
Generation 76 | Revalues: 172380 | GridSize: 300
Generation 77 | Revalues: 173710 | GridSize: 300
Generation 78 | Revalues: 174860 | GridSize: 300
Generation 79 | Revalues: 176570 | GridSize: 300
Generation 80 | Revalues: 177990 | GridSize: 300
Generation 81 | Revalues: 179050 | GridSize: 300
Generation 82 | Revalues: 180150 | GridSize: 300
Generation 83 | Revalues: 181280 | GridSize: 300
Generation 84 | Revalues: 182590 | GridSize: 300
Generation 85 | Revalues: 183850 | GridSize: 300
Generation 86 | Revalues: 184890 | GridSize: 300
Generation 87 | Revalues: 186070 | GridSize: 300
Generation 88 | Revalues: 187270 | GridSize: 300
Generation 89 | Revalues: 188720 | GridSize: 300
Generation 90 | Revalues: 190160 | GridSize: 300
Generation 91 | Revalues: 191340 | GridSize: 300
Generation 92 | Revalues: 192790 | GridSize: 300
Generation 93 | Revalues: 194360 | GridSize: 300
Generation 94 | Revalues: 195720 | GridSize: 300
Generation 95 | Revalues: 196950 | GridSize: 300
Generation 96 | Revalues: 198330 | GridSize: 300
Generation 97 | Revalues: 199490 | GridSize: 300
Generation 98 | Revalues: 200660 | GridSize: 300
Generation 99 | Revalues: 201950 | GridSize: 300
Generation 100 | Revalues: 203390 | GridSize: 300
Generation 101 | Revalues: 204550 | GridSize: 300
Generation 102 | Revalues: 205930 | GridSize: 300
Generation 103 | Revalues: 207200 | GridSize: 300
Generation 104 | Revalues: 208570 | GridSize: 299
Generation 105 | Revalues: 209890 | GridSize: 300
Generation 106 | Revalues: 211190 | GridSize: 300
Generation 107 | Revalues: 212560 | GridSize: 300
Generation 108 | Revalues: 213990 | GridSize: 300
Generation 109 | Revalues: 215270 | GridSize: 300
Generation 110 | Revalues: 216540 | GridSize: 300
Generation 111 | Revalues: 217690 | GridSize: 300
Generation 112 | Revalues: 218790 | GridSize: 300
Generation 113 | Revalues: 219990 | GridSize: 300
Generation 114 | Revalues: 221140 | GridSize: 300
Generation 115 | Revalues: 222480 | GridSize: 299
Generation 116 | Revalues: 223610 | GridSize: 300
Generation 117 | Revalues: 224850 | GridSize: 300
Generation 118 | Revalues: 225920 | GridSize: 300
Generation 119 | Revalues: 227050 | GridSize: 300
Generation 120 | Revalues: 228190 | GridSize: 300
Generation 121 | Revalues: 229580 | GridSize: 300
Generation 122 | Revalues: 230680 | GridSize: 299
Generation 123 | Revalues: 231950 | GridSize: 300
Generation 124 | Revalues: 233440 | GridSize: 300
Generation 125 | Revalues: 234610 | GridSize: 300
Generation 126 | Revalues: 235740 | GridSize: 300
Generation 127 | Revalues: 236990 | GridSize: 300
Generation 128 | Revalues: 238060 | GridSize: 300
Generation 129 | Revalues: 239490 | GridSize: 300
Generation 130 | Revalues: 240830 | GridSize: 300
Generation 131 | Revalues: 242070 | GridSize: 300
Generation 132 | Revalues: 243170 | GridSize: 300
Generation 133 | Revalues: 244450 | GridSize: 300
Generation 134 | Revalues: 245730 | GridSize: 300
Generation 135 | Revalues: 246850 | GridSize: 300
Generation 136 | Revalues: 248070 | GridSize: 300
Generation 137 | Revalues: 249400 | GridSize: 300
Generation 138 | Revalues: 250700 | GridSize: 300
Generation 139 | Revalues: 251900 | GridSize: 300
Generation 140 | Revalues: 253090 | GridSize: 300
Generation 141 | Revalues: 254390 | GridSize: 299
Generation 142 | Revalues: 255660 | GridSize: 300
Generation 143 | Revalues: 256910 | GridSize: 300
Generation 144 | Revalues: 258210 | GridSize: 300
Generation 145 | Revalues: 259360 | GridSize: 299
Generation 146 | Revalues: 260480 | GridSize: 300
Generation 147 | Revalues: 261550 | GridSize: 300
Generation 148 | Revalues: 262860 | GridSize: 300
Generation 149 | Revalues: 264020 | GridSize: 300
Generation 150 | Revalues: 265270 | GridSize: 299
Generation 151 | Revalues: 266680 | GridSize: 300
Generation 152 | Revalues: 267790 | GridSize: 300
Generation 153 | Revalues: 268990 | GridSize: 300
Generation 154 | Revalues: 270070 | GridSize: 300
Generation 155 | Revalues: 271200 | GridSize: 300
Generation 156 | Revalues: 272460 | GridSize: 300
Generation 157 | Revalues: 273700 | GridSize: 300
Generation 158 | Revalues: 274860 | GridSize: 297
Generation 159 | Revalues: 275950 | GridSize: 298
Generation 160 | Revalues: 277140 | GridSize: 300
Generation 161 | Revalues: 278260 | GridSize: 300
Generation 162 | Revalues: 279520 | GridSize: 300
Generation 163 | Revalues: 280650 | GridSize: 300
Generation 164 | Revalues: 282030 | GridSize: 300
Generation 165 | Revalues: 283120 | GridSize: 300
Generation 166 | Revalues: 284280 | GridSize: 300
Generation 167 | Revalues: 285410 | GridSize: 300
Generation 168 | Revalues: 286420 | GridSize: 300
Generation 169 | Revalues: 287690 | GridSize: 300
Generation 170 | Revalues: 288850 | GridSize: 300
Generation 171 | Revalues: 289990 | GridSize: 300
Generation 172 | Revalues: 291080 | GridSize: 300
Generation 173 | Revalues: 292320 | GridSize: 298
