Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 50120 | GridSize: 293
Generation 2 | Revalues: 59200 | GridSize: 300
Generation 3 | Revalues: 66580 | GridSize: 300
Generation 4 | Revalues: 69200 | GridSize: 300
Generation 5 | Revalues: 71040 | GridSize: 300
Generation 6 | Revalues: 73860 | GridSize: 300
Generation 7 | Revalues: 75450 | GridSize: 300
Generation 8 | Revalues: 78580 | GridSize: 300
Generation 9 | Revalues: 81680 | GridSize: 300
Generation 10 | Revalues: 84540 | GridSize: 300
Generation 11 | Revalues: 88370 | GridSize: 300
Generation 12 | Revalues: 90570 | GridSize: 300
Generation 13 | Revalues: 92540 | GridSize: 300
Generation 14 | Revalues: 95760 | GridSize: 300
Generation 15 | Revalues: 97360 | GridSize: 300
Generation 16 | Revalues: 100360 | GridSize: 300
Generation 17 | Revalues: 103070 | GridSize: 300
Generation 18 | Revalues: 104370 | GridSize: 300
Generation 19 | Revalues: 106130 | GridSize: 300
Generation 20 | Revalues: 107980 | GridSize: 300
Generation 21 | Revalues: 109880 | GridSize: 300
Generation 22 | Revalues: 111480 | GridSize: 300
Generation 23 | Revalues: 113340 | GridSize: 300
Generation 24 | Revalues: 115100 | GridSize: 300
Generation 25 | Revalues: 117150 | GridSize: 300
Generation 26 | Revalues: 118990 | GridSize: 300
Generation 27 | Revalues: 121470 | GridSize: 300
Generation 28 | Revalues: 122820 | GridSize: 300
Generation 29 | Revalues: 124240 | GridSize: 300
Generation 30 | Revalues: 125960 | GridSize: 300
Generation 31 | Revalues: 127460 | GridSize: 300
Generation 32 | Revalues: 129030 | GridSize: 300
Generation 33 | Revalues: 130370 | GridSize: 300
Generation 34 | Revalues: 131570 | GridSize: 299
Generation 35 | Revalues: 133350 | GridSize: 300
Generation 36 | Revalues: 134820 | GridSize: 300
Generation 37 | Revalues: 136430 | GridSize: 300
Generation 38 | Revalues: 138330 | GridSize: 300
Generation 39 | Revalues: 139560 | GridSize: 300
Generation 40 | Revalues: 140810 | GridSize: 300
Generation 41 | Revalues: 142110 | GridSize: 300
Generation 42 | Revalues: 143560 | GridSize: 300
Generation 43 | Revalues: 144980 | GridSize: 300
Generation 44 | Revalues: 146310 | GridSize: 300
Generation 45 | Revalues: 147700 | GridSize: 300
Generation 46 | Revalues: 149200 | GridSize: 300
Generation 47 | Revalues: 150820 | GridSize: 300
Generation 48 | Revalues: 152490 | GridSize: 300
Generation 49 | Revalues: 154570 | GridSize: 300
Generation 50 | Revalues: 156240 | GridSize: 297
Generation 51 | Revalues: 157410 | GridSize: 300
Generation 52 | Revalues: 158720 | GridSize: 300
Generation 53 | Revalues: 159820 | GridSize: 300
Generation 54 | Revalues: 161210 | GridSize: 300
Generation 55 | Revalues: 162670 | GridSize: 300
Generation 56 | Revalues: 164140 | GridSize: 300
Generation 57 | Revalues: 165590 | GridSize: 300
Generation 58 | Revalues: 167020 | GridSize: 300
Generation 59 | Revalues: 168220 | GridSize: 300
Generation 60 | Revalues: 169530 | GridSize: 300
Generation 61 | Revalues: 171090 | GridSize: 300
Generation 62 | Revalues: 172300 | GridSize: 300
Generation 63 | Revalues: 173710 | GridSize: 299
Generation 64 | Revalues: 175020 | GridSize: 300
Generation 65 | Revalues: 176820 | GridSize: 300
Generation 66 | Revalues: 178180 | GridSize: 300
Generation 67 | Revalues: 179620 | GridSize: 299
Generation 68 | Revalues: 181000 | GridSize: 300
Generation 69 | Revalues: 182650 | GridSize: 300
Generation 70 | Revalues: 183900 | GridSize: 300
Generation 71 | Revalues: 185260 | GridSize: 300
Generation 72 | Revalues: 186700 | GridSize: 300
Generation 73 | Revalues: 188090 | GridSize: 300
Generation 74 | Revalues: 189680 | GridSize: 299
Generation 75 | Revalues: 190950 | GridSize: 300
Generation 76 | Revalues: 192710 | GridSize: 300
Generation 77 | Revalues: 193880 | GridSize: 300
Generation 78 | Revalues: 195330 | GridSize: 300
Generation 79 | Revalues: 196530 | GridSize: 300
Generation 80 | Revalues: 197610 | GridSize: 300
Generation 81 | Revalues: 199100 | GridSize: 300
Generation 82 | Revalues: 200430 | GridSize: 300
Generation 83 | Revalues: 201560 | GridSize: 300
Generation 84 | Revalues: 203270 | GridSize: 300
Generation 85 | Revalues: 204400 | GridSize: 300
Generation 86 | Revalues: 206000 | GridSize: 300
Generation 87 | Revalues: 207390 | GridSize: 300
Generation 88 | Revalues: 208970 | GridSize: 300
Generation 89 | Revalues: 210140 | GridSize: 300
Generation 90 | Revalues: 211530 | GridSize: 300
Generation 91 | Revalues: 212800 | GridSize: 300
Generation 92 | Revalues: 214390 | GridSize: 300
Generation 93 | Revalues: 215540 | GridSize: 300
Generation 94 | Revalues: 216890 | GridSize: 300
Generation 95 | Revalues: 218230 | GridSize: 300
Generation 96 | Revalues: 219950 | GridSize: 300
Generation 97 | Revalues: 221120 | GridSize: 300
Generation 98 | Revalues: 222450 | GridSize: 300
Generation 99 | Revalues: 223680 | GridSize: 300
Generation 100 | Revalues: 224820 | GridSize: 300
Generation 101 | Revalues: 225990 | GridSize: 300
Generation 102 | Revalues: 227340 | GridSize: 300
Generation 103 | Revalues: 228560 | GridSize: 300
Generation 104 | Revalues: 230060 | GridSize: 300
Generation 105 | Revalues: 231140 | GridSize: 300
Generation 106 | Revalues: 232390 | GridSize: 300
Generation 107 | Revalues: 233630 | GridSize: 300
Generation 108 | Revalues: 235060 | GridSize: 300
Generation 109 | Revalues: 236340 | GridSize: 300
Generation 110 | Revalues: 237650 | GridSize: 300
Generation 111 | Revalues: 239010 | GridSize: 300
Generation 112 | Revalues: 240210 | GridSize: 300
Generation 113 | Revalues: 241390 | GridSize: 300
Generation 114 | Revalues: 242540 | GridSize: 300
Generation 115 | Revalues: 244000 | GridSize: 300
Generation 116 | Revalues: 245460 | GridSize: 300
Generation 117 | Revalues: 246640 | GridSize: 300
Generation 118 | Revalues: 247810 | GridSize: 300
Generation 119 | Revalues: 248900 | GridSize: 300
Generation 120 | Revalues: 250040 | GridSize: 300
Generation 121 | Revalues: 251190 | GridSize: 300
Generation 122 | Revalues: 252370 | GridSize: 300
Generation 123 | Revalues: 253840 | GridSize: 300
Generation 124 | Revalues: 255150 | GridSize: 300
Generation 125 | Revalues: 256710 | GridSize: 300
Generation 126 | Revalues: 257910 | GridSize: 300
Generation 127 | Revalues: 258980 | GridSize: 300
Generation 128 | Revalues: 260240 | GridSize: 299
Generation 129 | Revalues: 261440 | GridSize: 300
Generation 130 | Revalues: 262640 | GridSize: 300
Generation 131 | Revalues: 263970 | GridSize: 300
Generation 132 | Revalues: 265340 | GridSize: 300
Generation 133 | Revalues: 266640 | GridSize: 300
Generation 134 | Revalues: 268100 | GridSize: 300
Generation 135 | Revalues: 269260 | GridSize: 300
Generation 136 | Revalues: 270520 | GridSize: 300
Generation 137 | Revalues: 271710 | GridSize: 300
Generation 138 | Revalues: 272860 | GridSize: 299
Generation 139 | Revalues: 274080 | GridSize: 300
Generation 140 | Revalues: 275290 | GridSize: 300
Generation 141 | Revalues: 276430 | GridSize: 297
Generation 142 | Revalues: 277520 | GridSize: 300
Generation 143 | Revalues: 278620 | GridSize: 300
Generation 144 | Revalues: 279810 | GridSize: 300
Generation 145 | Revalues: 281190 | GridSize: 300
Generation 146 | Revalues: 282660 | GridSize: 300
Generation 147 | Revalues: 283830 | GridSize: 300
Generation 148 | Revalues: 284940 | GridSize: 300
Generation 149 | Revalues: 285990 | GridSize: 299
Generation 150 | Revalues: 287290 | GridSize: 298
Generation 151 | Revalues: 288670 | GridSize: 300
Generation 152 | Revalues: 289690 | GridSize: 300
Generation 153 | Revalues: 290940 | GridSize: 300
Generation 154 | Revalues: 292160 | GridSize: 300
Generation 155 | Revalues: 293330 | GridSize: 300
Generation 156 | Revalues: 294410 | GridSize: 300
Generation 157 | Revalues: 295480 | GridSize: 300
Generation 158 | Revalues: 296750 | GridSize: 300
Generation 159 | Revalues: 297830 | GridSize: 300
Generation 160 | Revalues: 299010 | GridSize: 300
Generation 161 | Revalues: 300230 | GridSize: 300
Generation 162 | Revalues: 301330 | GridSize: 300
Generation 163 | Revalues: 302580 | GridSize: 300
Generation 164 | Revalues: 303670 | GridSize: 300
Generation 165 | Revalues: 304780 | GridSize: 300
Generation 166 | Revalues: 306280 | GridSize: 298
Generation 167 | Revalues: 307580 | GridSize: 299
Generation 168 | Revalues: 308890 | GridSize: 298
Generation 169 | Revalues: 310120 | GridSize: 300
Generation 170 | Revalues: 311210 | GridSize: 300
Generation 171 | Revalues: 312640 | GridSize: 300
Generation 172 | Revalues: 313640 | GridSize: 300
Generation 173 | Revalues: 314760 | GridSize: 300
Generation 174 | Revalues: 316080 | GridSize: 300
Generation 175 | Revalues: 317310 | GridSize: 300
Generation 176 | Revalues: 318560 | GridSize: 300
Generation 177 | Revalues: 320050 | GridSize: 300
Generation 178 | Revalues: 321290 | GridSize: 300
Generation 179 | Revalues: 322670 | GridSize: 300
Generation 180 | Revalues: 323940 | GridSize: 300
Generation 181 | Revalues: 325310 | GridSize: 300
Generation 182 | Revalues: 326410 | GridSize: 300
Generation 183 | Revalues: 327480 | GridSize: 300
Generation 184 | Revalues: 328730 | GridSize: 300
Generation 185 | Revalues: 330020 | GridSize: 300
Generation 186 | Revalues: 331160 | GridSize: 300
Generation 187 | Revalues: 332500 | GridSize: 300
Generation 188 | Revalues: 333680 | GridSize: 300
Generation 189 | Revalues: 334840 | GridSize: 300
Generation 190 | Revalues: 336000 | GridSize: 300
Generation 191 | Revalues: 337020 | GridSize: 300
Generation 192 | Revalues: 338170 | GridSize: 300
Generation 193 | Revalues: 339470 | GridSize: 300
Generation 194 | Revalues: 341040 | GridSize: 300
Generation 195 | Revalues: 342330 | GridSize: 300
Generation 196 | Revalues: 343530 | GridSize: 300
Generation 197 | Revalues: 344630 | GridSize: 300
Generation 198 | Revalues: 345730 | GridSize: 300
Generation 199 | Revalues: 346860 | GridSize: 300
Generation 200 | Revalues: 347970 | GridSize: 300
Generation 201 | Revalues: 349100 | GridSize: 300
Generation 202 | Revalues: 350450 | GridSize: 300
Generation 203 | Revalues: 351760 | GridSize: 300
Generation 204 | Revalues: 352890 | GridSize: 300
Generation 205 | Revalues: 354070 | GridSize: 300
Generation 206 | Revalues: 355200 | GridSize: 300
Generation 207 | Revalues: 356230 | GridSize: 300
Generation 208 | Revalues: 357380 | GridSize: 300
Generation 209 | Revalues: 358550 | GridSize: 300
Generation 210 | Revalues: 359620 | GridSize: 300
Generation 211 | Revalues: 360790 | GridSize: 300
Generation 212 | Revalues: 362070 | GridSize: 300
Generation 213 | Revalues: 363230 | GridSize: 300
Generation 214 | Revalues: 364300 | GridSize: 300
Generation 215 | Revalues: 365370 | GridSize: 300
Generation 216 | Revalues: 366480 | GridSize: 299
Generation 217 | Revalues: 367610 | GridSize: 300
Generation 218 | Revalues: 368640 | GridSize: 299
Generation 219 | Revalues: 369740 | GridSize: 300
Generation 220 | Revalues: 370800 | GridSize: 300
Generation 221 | Revalues: 371940 | GridSize: 300
Generation 222 | Revalues: 373120 | GridSize: 300
Generation 223 | Revalues: 374560 | GridSize: 298
Generation 224 | Revalues: 375580 | GridSize: 300
Generation 225 | Revalues: 376630 | GridSize: 299
