Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 35270 | GridSize: 296
Generation 2 | Revalues: 41880 | GridSize: 300
Generation 3 | Revalues: 48460 | GridSize: 300
Generation 4 | Revalues: 53020 | GridSize: 299
Generation 5 | Revalues: 57080 | GridSize: 300
Generation 6 | Revalues: 60910 | GridSize: 300
Generation 7 | Revalues: 64660 | GridSize: 300
Generation 8 | Revalues: 66740 | GridSize: 300
Generation 9 | Revalues: 68700 | GridSize: 300
Generation 10 | Revalues: 70840 | GridSize: 300
Generation 11 | Revalues: 72700 | GridSize: 298
Generation 12 | Revalues: 77930 | GridSize: 300
Generation 13 | Revalues: 80990 | GridSize: 300
Generation 14 | Revalues: 82770 | GridSize: 300
Generation 15 | Revalues: 85470 | GridSize: 300
Generation 16 | Revalues: 88890 | GridSize: 300
Generation 17 | Revalues: 91090 | GridSize: 300
Generation 18 | Revalues: 93300 | GridSize: 300
Generation 19 | Revalues: 96160 | GridSize: 300
Generation 20 | Revalues: 97780 | GridSize: 300
Generation 21 | Revalues: 100200 | GridSize: 296
Generation 22 | Revalues: 102130 | GridSize: 300
Generation 23 | Revalues: 104120 | GridSize: 300
Generation 24 | Revalues: 106140 | GridSize: 300
Generation 25 | Revalues: 108160 | GridSize: 300
Generation 26 | Revalues: 110230 | GridSize: 300
Generation 27 | Revalues: 111550 | GridSize: 299
Generation 28 | Revalues: 113290 | GridSize: 300
Generation 29 | Revalues: 114980 | GridSize: 300
Generation 30 | Revalues: 117130 | GridSize: 300
Generation 31 | Revalues: 118750 | GridSize: 300
Generation 32 | Revalues: 120780 | GridSize: 300
Generation 33 | Revalues: 122910 | GridSize: 299
Generation 34 | Revalues: 124650 | GridSize: 300
Generation 35 | Revalues: 126410 | GridSize: 300
Generation 36 | Revalues: 128040 | GridSize: 300
Generation 37 | Revalues: 129530 | GridSize: 300
Generation 38 | Revalues: 131010 | GridSize: 300
Generation 39 | Revalues: 133160 | GridSize: 300
Generation 40 | Revalues: 135590 | GridSize: 300
Generation 41 | Revalues: 136900 | GridSize: 298
Generation 42 | Revalues: 138270 | GridSize: 300
Generation 43 | Revalues: 140190 | GridSize: 299
Generation 44 | Revalues: 141950 | GridSize: 299
Generation 45 | Revalues: 143150 | GridSize: 300
Generation 46 | Revalues: 144620 | GridSize: 299
Generation 47 | Revalues: 145980 | GridSize: 300
Generation 48 | Revalues: 147390 | GridSize: 300
Generation 49 | Revalues: 149130 | GridSize: 300
Generation 50 | Revalues: 151550 | GridSize: 300
Generation 51 | Revalues: 153060 | GridSize: 300
Generation 52 | Revalues: 154320 | GridSize: 298
Generation 53 | Revalues: 155690 | GridSize: 300
Generation 54 | Revalues: 157080 | GridSize: 299
Generation 55 | Revalues: 158450 | GridSize: 300
Generation 56 | Revalues: 159970 | GridSize: 300
Generation 57 | Revalues: 161450 | GridSize: 300
Generation 58 | Revalues: 162730 | GridSize: 300
Generation 59 | Revalues: 164160 | GridSize: 300
Generation 60 | Revalues: 165940 | GridSize: 300
Generation 61 | Revalues: 167300 | GridSize: 298
Generation 62 | Revalues: 168600 | GridSize: 300
Generation 63 | Revalues: 169870 | GridSize: 297
Generation 64 | Revalues: 171140 | GridSize: 300
Generation 65 | Revalues: 172290 | GridSize: 300
Generation 66 | Revalues: 173440 | GridSize: 300
Generation 67 | Revalues: 174770 | GridSize: 300
Generation 68 | Revalues: 176760 | GridSize: 300
Generation 69 | Revalues: 178250 | GridSize: 300
Generation 70 | Revalues: 179890 | GridSize: 300
Generation 71 | Revalues: 181190 | GridSize: 299
Generation 72 | Revalues: 182470 | GridSize: 299
Generation 73 | Revalues: 183870 | GridSize: 300
Generation 74 | Revalues: 185010 | GridSize: 300
Generation 75 | Revalues: 186370 | GridSize: 300
Generation 76 | Revalues: 187830 | GridSize: 300
Generation 77 | Revalues: 189370 | GridSize: 300
Generation 78 | Revalues: 190630 | GridSize: 300
Generation 79 | Revalues: 191840 | GridSize: 300
Generation 80 | Revalues: 193140 | GridSize: 300
Generation 81 | Revalues: 194270 | GridSize: 300
Generation 82 | Revalues: 195330 | GridSize: 300
Generation 83 | Revalues: 196620 | GridSize: 300
Generation 84 | Revalues: 197720 | GridSize: 300
Generation 85 | Revalues: 199030 | GridSize: 300
Generation 86 | Revalues: 200560 | GridSize: 300
Generation 87 | Revalues: 201830 | GridSize: 300
Generation 88 | Revalues: 203220 | GridSize: 300
Generation 89 | Revalues: 204410 | GridSize: 300
Generation 90 | Revalues: 205530 | GridSize: 300
Generation 91 | Revalues: 207230 | GridSize: 300
Generation 92 | Revalues: 208430 | GridSize: 300
Generation 93 | Revalues: 209630 | GridSize: 300
Generation 94 | Revalues: 211260 | GridSize: 300
Generation 95 | Revalues: 212530 | GridSize: 300
Generation 96 | Revalues: 213760 | GridSize: 300
Generation 97 | Revalues: 215080 | GridSize: 300
Generation 98 | Revalues: 216730 | GridSize: 300
Generation 99 | Revalues: 218240 | GridSize: 300
Generation 100 | Revalues: 219540 | GridSize: 300
Generation 101 | Revalues: 221040 | GridSize: 300
Generation 102 | Revalues: 222300 | GridSize: 300
Generation 103 | Revalues: 223540 | GridSize: 300
Generation 104 | Revalues: 224810 | GridSize: 300
Generation 105 | Revalues: 226020 | GridSize: 300
Generation 106 | Revalues: 227170 | GridSize: 300
Generation 107 | Revalues: 228650 | GridSize: 300
Generation 108 | Revalues: 229790 | GridSize: 300
Generation 109 | Revalues: 231160 | GridSize: 300
Generation 110 | Revalues: 232330 | GridSize: 300
Generation 111 | Revalues: 233560 | GridSize: 299
Generation 112 | Revalues: 234900 | GridSize: 300
Generation 113 | Revalues: 236090 | GridSize: 300
Generation 114 | Revalues: 237240 | GridSize: 300
Generation 115 | Revalues: 238500 | GridSize: 300
Generation 116 | Revalues: 239610 | GridSize: 300
Generation 117 | Revalues: 240830 | GridSize: 300
Generation 118 | Revalues: 241970 | GridSize: 300
Generation 119 | Revalues: 243130 | GridSize: 300
Generation 120 | Revalues: 244520 | GridSize: 300
Generation 121 | Revalues: 245640 | GridSize: 297
Generation 122 | Revalues: 246830 | GridSize: 300
Generation 123 | Revalues: 247880 | GridSize: 300
Generation 124 | Revalues: 249040 | GridSize: 300
Generation 125 | Revalues: 250140 | GridSize: 300
Generation 126 | Revalues: 251320 | GridSize: 300
Generation 127 | Revalues: 252580 | GridSize: 300
Generation 128 | Revalues: 253740 | GridSize: 299
Generation 129 | Revalues: 254800 | GridSize: 300
Generation 130 | Revalues: 255900 | GridSize: 299
Generation 131 | Revalues: 256940 | GridSize: 299
Generation 132 | Revalues: 258230 | GridSize: 299
