Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 286 | GridSize: 6
Generation 2 | Revalues: 478 | GridSize: 9
Generation 3 | Revalues: 680 | GridSize: 16
Generation 4 | Revalues: 890 | GridSize: 15
Generation 5 | Revalues: 1116 | GridSize: 18
Generation 6 | Revalues: 1300 | GridSize: 33
Generation 7 | Revalues: 1510 | GridSize: 26
Generation 8 | Revalues: 1724 | GridSize: 38
Generation 9 | Revalues: 1932 | GridSize: 34
Generation 10 | Revalues: 2162 | GridSize: 37
Generation 11 | Revalues: 2370 | GridSize: 33
Generation 12 | Revalues: 2556 | GridSize: 49
Generation 13 | Revalues: 2744 | GridSize: 44
Generation 14 | Revalues: 2952 | GridSize: 52
Generation 15 | Revalues: 3140 | GridSize: 64
Generation 16 | Revalues: 3328 | GridSize: 63
Generation 17 | Revalues: 3518 | GridSize: 56
Generation 18 | Revalues: 3724 | GridSize: 45
Generation 19 | Revalues: 3894 | GridSize: 54
Generation 20 | Revalues: 4088 | GridSize: 54
Generation 21 | Revalues: 4308 | GridSize: 48
Generation 22 | Revalues: 4504 | GridSize: 55
Generation 23 | Revalues: 4702 | GridSize: 57
Generation 24 | Revalues: 4904 | GridSize: 66
Generation 25 | Revalues: 5090 | GridSize: 49
Generation 26 | Revalues: 5272 | GridSize: 58
Generation 27 | Revalues: 5478 | GridSize: 70
Generation 28 | Revalues: 5688 | GridSize: 78
Generation 29 | Revalues: 5892 | GridSize: 78
Generation 30 | Revalues: 6084 | GridSize: 70
Generation 31 | Revalues: 6284 | GridSize: 76
Generation 32 | Revalues: 6456 | GridSize: 51
Generation 33 | Revalues: 6632 | GridSize: 54
Generation 34 | Revalues: 6814 | GridSize: 49
Generation 35 | Revalues: 7030 | GridSize: 76
Generation 36 | Revalues: 7212 | GridSize: 66
Generation 37 | Revalues: 7406 | GridSize: 43
Generation 38 | Revalues: 7590 | GridSize: 54
Generation 39 | Revalues: 7792 | GridSize: 45
Generation 40 | Revalues: 8004 | GridSize: 40
Generation 41 | Revalues: 8200 | GridSize: 44
Generation 42 | Revalues: 8418 | GridSize: 41
Generation 43 | Revalues: 8610 | GridSize: 47
Generation 44 | Revalues: 8828 | GridSize: 59
Generation 45 | Revalues: 9032 | GridSize: 55
Generation 46 | Revalues: 9220 | GridSize: 67
Generation 47 | Revalues: 9390 | GridSize: 46
Generation 48 | Revalues: 9600 | GridSize: 44
Generation 49 | Revalues: 9796 | GridSize: 44
Generation 50 | Revalues: 9996 | GridSize: 48
Generation 51 | Revalues: 10182 | GridSize: 49
