Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 304 | GridSize: 22
Generation 2 | Revalues: 522 | GridSize: 25
Generation 3 | Revalues: 730 | GridSize: 38
Generation 4 | Revalues: 920 | GridSize: 33
Generation 5 | Revalues: 1126 | GridSize: 25
Generation 6 | Revalues: 1310 | GridSize: 32
Generation 7 | Revalues: 1520 | GridSize: 27
Generation 8 | Revalues: 1728 | GridSize: 33
Generation 9 | Revalues: 1940 | GridSize: 38
Generation 10 | Revalues: 2140 | GridSize: 45
Generation 11 | Revalues: 2326 | GridSize: 59
Generation 12 | Revalues: 2530 | GridSize: 64
Generation 13 | Revalues: 2756 | GridSize: 54
Generation 14 | Revalues: 2972 | GridSize: 60
Generation 15 | Revalues: 3170 | GridSize: 54
Generation 16 | Revalues: 3372 | GridSize: 64
Generation 17 | Revalues: 3588 | GridSize: 58
Generation 18 | Revalues: 3804 | GridSize: 48
Generation 19 | Revalues: 3992 | GridSize: 57
Generation 20 | Revalues: 4212 | GridSize: 65
Generation 21 | Revalues: 4404 | GridSize: 70
Generation 22 | Revalues: 4570 | GridSize: 72
Generation 23 | Revalues: 4774 | GridSize: 92
Generation 24 | Revalues: 4970 | GridSize: 108
Generation 25 | Revalues: 5166 | GridSize: 89
Generation 26 | Revalues: 5362 | GridSize: 97
Generation 27 | Revalues: 5564 | GridSize: 90
Generation 28 | Revalues: 5800 | GridSize: 92
Generation 29 | Revalues: 6000 | GridSize: 95
Generation 30 | Revalues: 6208 | GridSize: 107
Generation 31 | Revalues: 6408 | GridSize: 109
Generation 32 | Revalues: 6580 | GridSize: 102
Generation 33 | Revalues: 6758 | GridSize: 111
Generation 34 | Revalues: 6960 | GridSize: 108
Generation 35 | Revalues: 7174 | GridSize: 114
Generation 36 | Revalues: 7392 | GridSize: 109
Generation 37 | Revalues: 7580 | GridSize: 108
Generation 38 | Revalues: 7786 | GridSize: 115
Generation 39 | Revalues: 7994 | GridSize: 125
Generation 40 | Revalues: 8202 | GridSize: 128
Generation 41 | Revalues: 8432 | GridSize: 119
Generation 42 | Revalues: 8628 | GridSize: 113
Generation 43 | Revalues: 8816 | GridSize: 122
Generation 44 | Revalues: 9008 | GridSize: 127
Generation 45 | Revalues: 9182 | GridSize: 124
Generation 46 | Revalues: 9376 | GridSize: 126
Generation 47 | Revalues: 9592 | GridSize: 129
Generation 48 | Revalues: 9790 | GridSize: 126
Generation 49 | Revalues: 9994 | GridSize: 128
Generation 50 | Revalues: 10194 | GridSize: 129
Generation 51 | Revalues: 10414 | GridSize: 133
Generation 52 | Revalues: 10574 | GridSize: 135
Generation 53 | Revalues: 10782 | GridSize: 132
Generation 54 | Revalues: 10982 | GridSize: 135
Generation 55 | Revalues: 11166 | GridSize: 134
Generation 56 | Revalues: 11348 | GridSize: 137
Generation 57 | Revalues: 11536 | GridSize: 136
Generation 58 | Revalues: 11730 | GridSize: 132
Generation 59 | Revalues: 11924 | GridSize: 135
Generation 60 | Revalues: 12120 | GridSize: 130
Generation 61 | Revalues: 12332 | GridSize: 135
Generation 62 | Revalues: 12560 | GridSize: 133
Generation 63 | Revalues: 12760 | GridSize: 135
Generation 64 | Revalues: 12976 | GridSize: 139
Generation 65 | Revalues: 13162 | GridSize: 144
Generation 66 | Revalues: 13334 | GridSize: 147
Generation 67 | Revalues: 13534 | GridSize: 150
Generation 68 | Revalues: 13758 | GridSize: 155
Generation 69 | Revalues: 13968 | GridSize: 151
Generation 70 | Revalues: 14170 | GridSize: 157
Generation 71 | Revalues: 14362 | GridSize: 159
Generation 72 | Revalues: 14558 | GridSize: 159
Generation 73 | Revalues: 14758 | GridSize: 153
Generation 74 | Revalues: 14956 | GridSize: 157
Generation 75 | Revalues: 15156 | GridSize: 158
Generation 76 | Revalues: 15374 | GridSize: 161
Generation 77 | Revalues: 15564 | GridSize: 165
Generation 78 | Revalues: 15776 | GridSize: 166
Generation 79 | Revalues: 15980 | GridSize: 158
Generation 80 | Revalues: 16184 | GridSize: 162
Generation 81 | Revalues: 16372 | GridSize: 164
Generation 82 | Revalues: 16542 | GridSize: 165
Generation 83 | Revalues: 16752 | GridSize: 169
Generation 84 | Revalues: 16938 | GridSize: 175
Generation 85 | Revalues: 17128 | GridSize: 178
Generation 86 | Revalues: 17316 | GridSize: 177
Generation 87 | Revalues: 17506 | GridSize: 183
Generation 88 | Revalues: 17700 | GridSize: 191
Generation 89 | Revalues: 17916 | GridSize: 188
Generation 90 | Revalues: 18122 | GridSize: 190
Generation 91 | Revalues: 18334 | GridSize: 190
Generation 92 | Revalues: 18512 | GridSize: 189
Generation 93 | Revalues: 18702 | GridSize: 193
Generation 94 | Revalues: 18896 | GridSize: 199
Generation 95 | Revalues: 19082 | GridSize: 204
Generation 96 | Revalues: 19284 | GridSize: 203
Generation 97 | Revalues: 19498 | GridSize: 203
Generation 98 | Revalues: 19712 | GridSize: 202
Generation 99 | Revalues: 19916 | GridSize: 206
Generation 100 | Revalues: 20110 | GridSize: 210
Generation 101 | Revalues: 20322 | GridSize: 214
Generation 102 | Revalues: 20530 | GridSize: 220
Generation 103 | Revalues: 20760 | GridSize: 215
Generation 104 | Revalues: 20940 | GridSize: 208
Generation 105 | Revalues: 21166 | GridSize: 211
Generation 106 | Revalues: 21366 | GridSize: 207
Generation 107 | Revalues: 21568 | GridSize: 205
Generation 108 | Revalues: 21766 | GridSize: 205
Generation 109 | Revalues: 21962 | GridSize: 211
Generation 110 | Revalues: 22160 | GridSize: 212
Generation 111 | Revalues: 22352 | GridSize: 209
Generation 112 | Revalues: 22560 | GridSize: 207
Generation 113 | Revalues: 22752 | GridSize: 209
Generation 114 | Revalues: 22956 | GridSize: 211
Generation 115 | Revalues: 23170 | GridSize: 214
Generation 116 | Revalues: 23368 | GridSize: 215
Generation 117 | Revalues: 23556 | GridSize: 217
Generation 118 | Revalues: 23748 | GridSize: 215
Generation 119 | Revalues: 23966 | GridSize: 219
Generation 120 | Revalues: 24164 | GridSize: 217
Generation 121 | Revalues: 24380 | GridSize: 220
Generation 122 | Revalues: 24574 | GridSize: 219
Generation 123 | Revalues: 24768 | GridSize: 220
Generation 124 | Revalues: 24966 | GridSize: 221
Generation 125 | Revalues: 25154 | GridSize: 223
