Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 314 | GridSize: 10
Generation 2 | Revalues: 492 | GridSize: 15
Generation 3 | Revalues: 710 | GridSize: 17
Generation 4 | Revalues: 906 | GridSize: 20
Generation 5 | Revalues: 1110 | GridSize: 15
Generation 6 | Revalues: 1332 | GridSize: 19
Generation 7 | Revalues: 1520 | GridSize: 16
Generation 8 | Revalues: 1746 | GridSize: 19
Generation 9 | Revalues: 1928 | GridSize: 16
Generation 10 | Revalues: 2116 | GridSize: 24
Generation 11 | Revalues: 2310 | GridSize: 28
Generation 12 | Revalues: 2496 | GridSize: 29
Generation 13 | Revalues: 2684 | GridSize: 39
Generation 14 | Revalues: 2874 | GridSize: 36
Generation 15 | Revalues: 3060 | GridSize: 43
Generation 16 | Revalues: 3258 | GridSize: 51
Generation 17 | Revalues: 3468 | GridSize: 39
Generation 18 | Revalues: 3670 | GridSize: 46
Generation 19 | Revalues: 3876 | GridSize: 43
Generation 20 | Revalues: 4080 | GridSize: 44
Generation 21 | Revalues: 4288 | GridSize: 37
Generation 22 | Revalues: 4494 | GridSize: 39
Generation 23 | Revalues: 4692 | GridSize: 38
Generation 24 | Revalues: 4870 | GridSize: 45
Generation 25 | Revalues: 5060 | GridSize: 42
Generation 26 | Revalues: 5270 | GridSize: 43
Generation 27 | Revalues: 5488 | GridSize: 49
Generation 28 | Revalues: 5676 | GridSize: 52
Generation 29 | Revalues: 5894 | GridSize: 60
Generation 30 | Revalues: 6110 | GridSize: 65
Generation 31 | Revalues: 6320 | GridSize: 60
Generation 32 | Revalues: 6502 | GridSize: 64
Generation 33 | Revalues: 6724 | GridSize: 68
Generation 34 | Revalues: 6934 | GridSize: 62
Generation 35 | Revalues: 7170 | GridSize: 68
Generation 36 | Revalues: 7380 | GridSize: 62
Generation 37 | Revalues: 7576 | GridSize: 59
Generation 38 | Revalues: 7768 | GridSize: 68
Generation 39 | Revalues: 7968 | GridSize: 70
Generation 40 | Revalues: 8170 | GridSize: 72
Generation 41 | Revalues: 8378 | GridSize: 77
Generation 42 | Revalues: 8590 | GridSize: 79
Generation 43 | Revalues: 8804 | GridSize: 82
Generation 44 | Revalues: 9020 | GridSize: 87
Generation 45 | Revalues: 9224 | GridSize: 88
Generation 46 | Revalues: 9414 | GridSize: 88
Generation 47 | Revalues: 9616 | GridSize: 91
Generation 48 | Revalues: 9808 | GridSize: 97
Generation 49 | Revalues: 10012 | GridSize: 92
Generation 50 | Revalues: 10212 | GridSize: 97
Generation 51 | Revalues: 10414 | GridSize: 100
Generation 52 | Revalues: 10654 | GridSize: 97
Generation 53 | Revalues: 10846 | GridSize: 86
Generation 54 | Revalues: 11060 | GridSize: 92
Generation 55 | Revalues: 11270 | GridSize: 98
Generation 56 | Revalues: 11460 | GridSize: 97
Generation 57 | Revalues: 11646 | GridSize: 100
Generation 58 | Revalues: 11858 | GridSize: 104
Generation 59 | Revalues: 12064 | GridSize: 107
Generation 60 | Revalues: 12272 | GridSize: 117
Generation 61 | Revalues: 12474 | GridSize: 120
Generation 62 | Revalues: 12674 | GridSize: 125
Generation 63 | Revalues: 12872 | GridSize: 129
Generation 64 | Revalues: 13080 | GridSize: 136
Generation 65 | Revalues: 13252 | GridSize: 138
Generation 66 | Revalues: 13474 | GridSize: 132
Generation 67 | Revalues: 13652 | GridSize: 131
Generation 68 | Revalues: 13862 | GridSize: 122
Generation 69 | Revalues: 14070 | GridSize: 124
