Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 330 | GridSize: 4
Generation 2 | Revalues: 566 | GridSize: 10
Generation 3 | Revalues: 786 | GridSize: 6
Generation 4 | Revalues: 1028 | GridSize: 13
Generation 5 | Revalues: 1264 | GridSize: 11
Generation 6 | Revalues: 1508 | GridSize: 16
Generation 7 | Revalues: 1730 | GridSize: 21
Generation 8 | Revalues: 1944 | GridSize: 18
Generation 9 | Revalues: 2154 | GridSize: 19
Generation 10 | Revalues: 2422 | GridSize: 17
Generation 11 | Revalues: 2666 | GridSize: 12
Generation 12 | Revalues: 2878 | GridSize: 17
Generation 13 | Revalues: 3108 | GridSize: 15
Generation 14 | Revalues: 3308 | GridSize: 13
Generation 15 | Revalues: 3524 | GridSize: 10
Generation 16 | Revalues: 3746 | GridSize: 16
Generation 17 | Revalues: 3966 | GridSize: 15
Generation 18 | Revalues: 4168 | GridSize: 17
Generation 19 | Revalues: 4384 | GridSize: 19
Generation 20 | Revalues: 4590 | GridSize: 26
Generation 21 | Revalues: 4810 | GridSize: 15
Generation 22 | Revalues: 5036 | GridSize: 28
Generation 23 | Revalues: 5248 | GridSize: 20
Generation 24 | Revalues: 5476 | GridSize: 30
Generation 25 | Revalues: 5714 | GridSize: 31
Generation 26 | Revalues: 5930 | GridSize: 23
Generation 27 | Revalues: 6140 | GridSize: 24
Generation 28 | Revalues: 6352 | GridSize: 17
Generation 29 | Revalues: 6554 | GridSize: 16
Generation 30 | Revalues: 6756 | GridSize: 22
Generation 31 | Revalues: 6986 | GridSize: 19
Generation 32 | Revalues: 7204 | GridSize: 22
Generation 33 | Revalues: 7430 | GridSize: 24
Generation 34 | Revalues: 7616 | GridSize: 21
Generation 35 | Revalues: 7832 | GridSize: 21
Generation 36 | Revalues: 8080 | GridSize: 18
Generation 37 | Revalues: 8298 | GridSize: 23
Generation 38 | Revalues: 8516 | GridSize: 24
Generation 39 | Revalues: 8718 | GridSize: 23
Generation 40 | Revalues: 8934 | GridSize: 21
Generation 41 | Revalues: 9148 | GridSize: 23
Generation 42 | Revalues: 9352 | GridSize: 24
Generation 43 | Revalues: 9580 | GridSize: 24
Generation 44 | Revalues: 9790 | GridSize: 25
Generation 45 | Revalues: 10006 | GridSize: 30
Generation 46 | Revalues: 10228 | GridSize: 26
Generation 47 | Revalues: 10436 | GridSize: 34
Generation 48 | Revalues: 10680 | GridSize: 35
Generation 49 | Revalues: 10892 | GridSize: 26
Generation 50 | Revalues: 11106 | GridSize: 30
Generation 51 | Revalues: 11328 | GridSize: 23
Generation 52 | Revalues: 11556 | GridSize: 25
Generation 53 | Revalues: 11780 | GridSize: 26
Generation 54 | Revalues: 12000 | GridSize: 33
Generation 55 | Revalues: 12228 | GridSize: 31
Generation 56 | Revalues: 12462 | GridSize: 27
Generation 57 | Revalues: 12686 | GridSize: 26
Generation 58 | Revalues: 12904 | GridSize: 32
Generation 59 | Revalues: 13132 | GridSize: 28
Generation 60 | Revalues: 13360 | GridSize: 28
Generation 61 | Revalues: 13576 | GridSize: 28
Generation 62 | Revalues: 13784 | GridSize: 24
Generation 63 | Revalues: 14026 | GridSize: 39
Generation 64 | Revalues: 14236 | GridSize: 33
Generation 65 | Revalues: 14452 | GridSize: 40
Generation 66 | Revalues: 14682 | GridSize: 40
Generation 67 | Revalues: 14910 | GridSize: 42
Generation 68 | Revalues: 15130 | GridSize: 43
Generation 69 | Revalues: 15360 | GridSize: 37
Generation 70 | Revalues: 15586 | GridSize: 30
Generation 71 | Revalues: 15798 | GridSize: 36
Generation 72 | Revalues: 16036 | GridSize: 38
Generation 73 | Revalues: 16256 | GridSize: 40
Generation 74 | Revalues: 16462 | GridSize: 38
Generation 75 | Revalues: 16662 | GridSize: 43
Generation 76 | Revalues: 16874 | GridSize: 35
Generation 77 | Revalues: 17090 | GridSize: 29
Generation 78 | Revalues: 17320 | GridSize: 26
Generation 79 | Revalues: 17552 | GridSize: 33
Generation 80 | Revalues: 17758 | GridSize: 33
Generation 81 | Revalues: 17974 | GridSize: 33
Generation 82 | Revalues: 18176 | GridSize: 32
Generation 83 | Revalues: 18394 | GridSize: 28
Generation 84 | Revalues: 18582 | GridSize: 37
Generation 85 | Revalues: 18812 | GridSize: 39
Generation 86 | Revalues: 19034 | GridSize: 35
Generation 87 | Revalues: 19242 | GridSize: 42
Generation 88 | Revalues: 19480 | GridSize: 32
Generation 89 | Revalues: 19712 | GridSize: 28
Generation 90 | Revalues: 19940 | GridSize: 37
Generation 91 | Revalues: 20168 | GridSize: 37
Generation 92 | Revalues: 20410 | GridSize: 43
Generation 93 | Revalues: 20630 | GridSize: 35
Generation 94 | Revalues: 20858 | GridSize: 40
Generation 95 | Revalues: 21090 | GridSize: 50
Generation 96 | Revalues: 21318 | GridSize: 48
Generation 97 | Revalues: 21526 | GridSize: 51
Generation 98 | Revalues: 21732 | GridSize: 46
Generation 99 | Revalues: 21940 | GridSize: 44
Generation 100 | Revalues: 22154 | GridSize: 45
Generation 101 | Revalues: 22348 | GridSize: 34
Generation 102 | Revalues: 22542 | GridSize: 39
Generation 103 | Revalues: 22756 | GridSize: 44
Generation 104 | Revalues: 22956 | GridSize: 48
Generation 105 | Revalues: 23192 | GridSize: 32
Generation 106 | Revalues: 23410 | GridSize: 43
Generation 107 | Revalues: 23640 | GridSize: 48
Generation 108 | Revalues: 23866 | GridSize: 50
Generation 109 | Revalues: 24098 | GridSize: 49
Generation 110 | Revalues: 24302 | GridSize: 48
Generation 111 | Revalues: 24542 | GridSize: 49
Generation 112 | Revalues: 24768 | GridSize: 48
Generation 113 | Revalues: 24980 | GridSize: 50
Generation 114 | Revalues: 25182 | GridSize: 41
Generation 115 | Revalues: 25406 | GridSize: 50
Generation 116 | Revalues: 25620 | GridSize: 57
Generation 117 | Revalues: 25846 | GridSize: 50
Generation 118 | Revalues: 26070 | GridSize: 50
Generation 119 | Revalues: 26308 | GridSize: 53
Generation 120 | Revalues: 26524 | GridSize: 53
Generation 121 | Revalues: 26722 | GridSize: 56
Generation 122 | Revalues: 26926 | GridSize: 55
Generation 123 | Revalues: 27116 | GridSize: 57
Generation 124 | Revalues: 27336 | GridSize: 52
Generation 125 | Revalues: 27554 | GridSize: 51
Generation 126 | Revalues: 27774 | GridSize: 59
Generation 127 | Revalues: 28000 | GridSize: 65
Generation 128 | Revalues: 28220 | GridSize: 66
Generation 129 | Revalues: 28450 | GridSize: 60
Generation 130 | Revalues: 28662 | GridSize: 57
Generation 131 | Revalues: 28856 | GridSize: 62
Generation 132 | Revalues: 29066 | GridSize: 58
Generation 133 | Revalues: 29298 | GridSize: 69
Generation 134 | Revalues: 29504 | GridSize: 72
Generation 135 | Revalues: 29734 | GridSize: 54
Generation 136 | Revalues: 29966 | GridSize: 59
Generation 137 | Revalues: 30170 | GridSize: 58
Generation 138 | Revalues: 30398 | GridSize: 53
Generation 139 | Revalues: 30638 | GridSize: 58
Generation 140 | Revalues: 30842 | GridSize: 63
Generation 141 | Revalues: 31058 | GridSize: 69
Generation 142 | Revalues: 31276 | GridSize: 59
Generation 143 | Revalues: 31480 | GridSize: 66
Generation 144 | Revalues: 31698 | GridSize: 69
Generation 145 | Revalues: 31914 | GridSize: 56
Generation 146 | Revalues: 32112 | GridSize: 57
Generation 147 | Revalues: 32340 | GridSize: 62
Generation 148 | Revalues: 32560 | GridSize: 59
Generation 149 | Revalues: 32774 | GridSize: 57
Generation 150 | Revalues: 32994 | GridSize: 58
Generation 151 | Revalues: 33208 | GridSize: 59
Generation 152 | Revalues: 33436 | GridSize: 58
Generation 153 | Revalues: 33626 | GridSize: 66
Generation 154 | Revalues: 33850 | GridSize: 51
Generation 155 | Revalues: 34066 | GridSize: 63
Generation 156 | Revalues: 34278 | GridSize: 65
Generation 157 | Revalues: 34488 | GridSize: 61
Generation 158 | Revalues: 34708 | GridSize: 65
Generation 159 | Revalues: 34932 | GridSize: 72
Generation 160 | Revalues: 35162 | GridSize: 62
Generation 161 | Revalues: 35358 | GridSize: 69
Generation 162 | Revalues: 35566 | GridSize: 63
Generation 163 | Revalues: 35770 | GridSize: 69
Generation 164 | Revalues: 36014 | GridSize: 63
Generation 165 | Revalues: 36254 | GridSize: 60
Generation 166 | Revalues: 36466 | GridSize: 54
Generation 167 | Revalues: 36688 | GridSize: 56
Generation 168 | Revalues: 36918 | GridSize: 52
Generation 169 | Revalues: 37128 | GridSize: 63
Generation 170 | Revalues: 37352 | GridSize: 69
Generation 171 | Revalues: 37582 | GridSize: 59
Generation 172 | Revalues: 37806 | GridSize: 62
Generation 173 | Revalues: 38024 | GridSize: 66
Generation 174 | Revalues: 38254 | GridSize: 62
Generation 175 | Revalues: 38474 | GridSize: 65
Generation 176 | Revalues: 38680 | GridSize: 68
Generation 177 | Revalues: 38914 | GridSize: 56
Generation 178 | Revalues: 39162 | GridSize: 59
Generation 179 | Revalues: 39382 | GridSize: 58
Generation 180 | Revalues: 39600 | GridSize: 61
Generation 181 | Revalues: 39842 | GridSize: 60
Generation 182 | Revalues: 40078 | GridSize: 60
Generation 183 | Revalues: 40302 | GridSize: 62
Generation 184 | Revalues: 40526 | GridSize: 67
Generation 185 | Revalues: 40762 | GridSize: 66
Generation 186 | Revalues: 40982 | GridSize: 70
Generation 187 | Revalues: 41224 | GridSize: 72
Generation 188 | Revalues: 41434 | GridSize: 69
Generation 189 | Revalues: 41648 | GridSize: 68
Generation 190 | Revalues: 41866 | GridSize: 63
Generation 191 | Revalues: 42070 | GridSize: 71
Generation 192 | Revalues: 42284 | GridSize: 65
Generation 193 | Revalues: 42520 | GridSize: 73
Generation 194 | Revalues: 42748 | GridSize: 78
Generation 195 | Revalues: 42974 | GridSize: 76
Generation 196 | Revalues: 43200 | GridSize: 75
Generation 197 | Revalues: 43436 | GridSize: 66
Generation 198 | Revalues: 43640 | GridSize: 71
Generation 199 | Revalues: 43862 | GridSize: 74
Generation 200 | Revalues: 44076 | GridSize: 84
Generation 201 | Revalues: 44298 | GridSize: 71
Generation 202 | Revalues: 44506 | GridSize: 77
Generation 203 | Revalues: 44728 | GridSize: 83
Generation 204 | Revalues: 44926 | GridSize: 81
Generation 205 | Revalues: 45142 | GridSize: 82
Generation 206 | Revalues: 45366 | GridSize: 82
Generation 207 | Revalues: 45596 | GridSize: 79
Generation 208 | Revalues: 45782 | GridSize: 85
Generation 209 | Revalues: 46004 | GridSize: 86
Generation 210 | Revalues: 46232 | GridSize: 91
Generation 211 | Revalues: 46434 | GridSize: 89
Generation 212 | Revalues: 46668 | GridSize: 82
Generation 213 | Revalues: 46920 | GridSize: 86
Generation 214 | Revalues: 47148 | GridSize: 84
Generation 215 | Revalues: 47348 | GridSize: 87
Generation 216 | Revalues: 47538 | GridSize: 91
Generation 217 | Revalues: 47776 | GridSize: 89
Generation 218 | Revalues: 48020 | GridSize: 89
Generation 219 | Revalues: 48230 | GridSize: 88
Generation 220 | Revalues: 48436 | GridSize: 84
Generation 221 | Revalues: 48664 | GridSize: 91
Generation 222 | Revalues: 48902 | GridSize: 82
Generation 223 | Revalues: 49132 | GridSize: 69
Generation 224 | Revalues: 49370 | GridSize: 66
Generation 225 | Revalues: 49556 | GridSize: 64
Generation 226 | Revalues: 49786 | GridSize: 65
Generation 227 | Revalues: 50006 | GridSize: 67
Generation 228 | Revalues: 50228 | GridSize: 70
Generation 229 | Revalues: 50426 | GridSize: 78
Generation 230 | Revalues: 50642 | GridSize: 78
Generation 231 | Revalues: 50856 | GridSize: 81
Generation 232 | Revalues: 51084 | GridSize: 87
Generation 233 | Revalues: 51300 | GridSize: 79
Generation 234 | Revalues: 51540 | GridSize: 81
Generation 235 | Revalues: 51768 | GridSize: 76
Generation 236 | Revalues: 51986 | GridSize: 71
Generation 237 | Revalues: 52214 | GridSize: 64
Generation 238 | Revalues: 52424 | GridSize: 70
Generation 239 | Revalues: 52630 | GridSize: 71
Generation 240 | Revalues: 52840 | GridSize: 67
Generation 241 | Revalues: 53048 | GridSize: 60
Generation 242 | Revalues: 53264 | GridSize: 61
Generation 243 | Revalues: 53508 | GridSize: 65
Generation 244 | Revalues: 53734 | GridSize: 68
Generation 245 | Revalues: 53966 | GridSize: 66
Generation 246 | Revalues: 54180 | GridSize: 72
