Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 310 | GridSize: 10
Generation 2 | Revalues: 544 | GridSize: 9
Generation 3 | Revalues: 780 | GridSize: 12
Generation 4 | Revalues: 1032 | GridSize: 10
Generation 5 | Revalues: 1254 | GridSize: 13
Generation 6 | Revalues: 1490 | GridSize: 18
Generation 7 | Revalues: 1720 | GridSize: 7
Generation 8 | Revalues: 1946 | GridSize: 12
Generation 9 | Revalues: 2160 | GridSize: 11
Generation 10 | Revalues: 2380 | GridSize: 23
Generation 11 | Revalues: 2596 | GridSize: 13
Generation 12 | Revalues: 2800 | GridSize: 20
Generation 13 | Revalues: 3016 | GridSize: 13
Generation 14 | Revalues: 3250 | GridSize: 12
Generation 15 | Revalues: 3480 | GridSize: 20
Generation 16 | Revalues: 3694 | GridSize: 27
Generation 17 | Revalues: 3902 | GridSize: 21
Generation 18 | Revalues: 4118 | GridSize: 17
Generation 19 | Revalues: 4352 | GridSize: 16
Generation 20 | Revalues: 4568 | GridSize: 16
Generation 21 | Revalues: 4760 | GridSize: 16
Generation 22 | Revalues: 4988 | GridSize: 19
Generation 23 | Revalues: 5208 | GridSize: 14
Generation 24 | Revalues: 5428 | GridSize: 19
Generation 25 | Revalues: 5642 | GridSize: 19
Generation 26 | Revalues: 5868 | GridSize: 18
Generation 27 | Revalues: 6078 | GridSize: 33
Generation 28 | Revalues: 6304 | GridSize: 24
Generation 29 | Revalues: 6516 | GridSize: 22
Generation 30 | Revalues: 6728 | GridSize: 28
Generation 31 | Revalues: 6942 | GridSize: 34
Generation 32 | Revalues: 7142 | GridSize: 25
Generation 33 | Revalues: 7376 | GridSize: 34
Generation 34 | Revalues: 7626 | GridSize: 37
Generation 35 | Revalues: 7808 | GridSize: 24
Generation 36 | Revalues: 8034 | GridSize: 32
Generation 37 | Revalues: 8248 | GridSize: 27
Generation 38 | Revalues: 8466 | GridSize: 28
Generation 39 | Revalues: 8680 | GridSize: 29
Generation 40 | Revalues: 8906 | GridSize: 28
Generation 41 | Revalues: 9128 | GridSize: 26
Generation 42 | Revalues: 9356 | GridSize: 28
Generation 43 | Revalues: 9572 | GridSize: 37
Generation 44 | Revalues: 9800 | GridSize: 35
Generation 45 | Revalues: 10004 | GridSize: 27
Generation 46 | Revalues: 10250 | GridSize: 27
Generation 47 | Revalues: 10464 | GridSize: 28
Generation 48 | Revalues: 10696 | GridSize: 30
Generation 49 | Revalues: 10914 | GridSize: 32
Generation 50 | Revalues: 11146 | GridSize: 35
Generation 51 | Revalues: 11364 | GridSize: 30
Generation 52 | Revalues: 11566 | GridSize: 39
Generation 53 | Revalues: 11778 | GridSize: 37
Generation 54 | Revalues: 11984 | GridSize: 35
Generation 55 | Revalues: 12198 | GridSize: 24
Generation 56 | Revalues: 12418 | GridSize: 34
Generation 57 | Revalues: 12640 | GridSize: 32
Generation 58 | Revalues: 12846 | GridSize: 32
Generation 59 | Revalues: 13046 | GridSize: 32
Generation 60 | Revalues: 13272 | GridSize: 34
Generation 61 | Revalues: 13506 | GridSize: 41
Generation 62 | Revalues: 13732 | GridSize: 39
Generation 63 | Revalues: 13956 | GridSize: 38
Generation 64 | Revalues: 14162 | GridSize: 42
Generation 65 | Revalues: 14358 | GridSize: 42
Generation 66 | Revalues: 14572 | GridSize: 44
Generation 67 | Revalues: 14812 | GridSize: 39
Generation 68 | Revalues: 15042 | GridSize: 37
Generation 69 | Revalues: 15248 | GridSize: 36
Generation 70 | Revalues: 15468 | GridSize: 38
Generation 71 | Revalues: 15698 | GridSize: 41
Generation 72 | Revalues: 15938 | GridSize: 39
Generation 73 | Revalues: 16150 | GridSize: 43
Generation 74 | Revalues: 16376 | GridSize: 37
Generation 75 | Revalues: 16574 | GridSize: 41
Generation 76 | Revalues: 16810 | GridSize: 31
Generation 77 | Revalues: 17020 | GridSize: 36
Generation 78 | Revalues: 17264 | GridSize: 30
Generation 79 | Revalues: 17480 | GridSize: 33
Generation 80 | Revalues: 17684 | GridSize: 35
Generation 81 | Revalues: 17912 | GridSize: 38
Generation 82 | Revalues: 18144 | GridSize: 49
Generation 83 | Revalues: 18386 | GridSize: 54
Generation 84 | Revalues: 18586 | GridSize: 55
Generation 85 | Revalues: 18808 | GridSize: 53
Generation 86 | Revalues: 19020 | GridSize: 55
Generation 87 | Revalues: 19230 | GridSize: 54
Generation 88 | Revalues: 19450 | GridSize: 49
Generation 89 | Revalues: 19658 | GridSize: 54
Generation 90 | Revalues: 19886 | GridSize: 54
Generation 91 | Revalues: 20126 | GridSize: 56
Generation 92 | Revalues: 20350 | GridSize: 56
Generation 93 | Revalues: 20586 | GridSize: 61
Generation 94 | Revalues: 20826 | GridSize: 49
Generation 95 | Revalues: 21046 | GridSize: 51
Generation 96 | Revalues: 21264 | GridSize: 51
Generation 97 | Revalues: 21482 | GridSize: 59
Generation 98 | Revalues: 21694 | GridSize: 59
Generation 99 | Revalues: 21928 | GridSize: 58
Generation 100 | Revalues: 22138 | GridSize: 49
Generation 101 | Revalues: 22360 | GridSize: 52
Generation 102 | Revalues: 22562 | GridSize: 53
Generation 103 | Revalues: 22790 | GridSize: 55
Generation 104 | Revalues: 23018 | GridSize: 60
Generation 105 | Revalues: 23240 | GridSize: 64
Generation 106 | Revalues: 23478 | GridSize: 66
Generation 107 | Revalues: 23702 | GridSize: 58
Generation 108 | Revalues: 23918 | GridSize: 61
Generation 109 | Revalues: 24140 | GridSize: 65
Generation 110 | Revalues: 24326 | GridSize: 59
Generation 111 | Revalues: 24542 | GridSize: 65
Generation 112 | Revalues: 24772 | GridSize: 68
Generation 113 | Revalues: 25008 | GridSize: 67
Generation 114 | Revalues: 25224 | GridSize: 62
Generation 115 | Revalues: 25432 | GridSize: 62
Generation 116 | Revalues: 25678 | GridSize: 59
Generation 117 | Revalues: 25902 | GridSize: 63
Generation 118 | Revalues: 26132 | GridSize: 55
Generation 119 | Revalues: 26348 | GridSize: 60
Generation 120 | Revalues: 26588 | GridSize: 54
Generation 121 | Revalues: 26826 | GridSize: 46
Generation 122 | Revalues: 27040 | GridSize: 47
Generation 123 | Revalues: 27280 | GridSize: 42
Generation 124 | Revalues: 27510 | GridSize: 50
Generation 125 | Revalues: 27712 | GridSize: 52
Generation 126 | Revalues: 27938 | GridSize: 50
Generation 127 | Revalues: 28178 | GridSize: 47
Generation 128 | Revalues: 28396 | GridSize: 45
Generation 129 | Revalues: 28596 | GridSize: 47
Generation 130 | Revalues: 28828 | GridSize: 57
Generation 131 | Revalues: 29040 | GridSize: 54
Generation 132 | Revalues: 29276 | GridSize: 55
Generation 133 | Revalues: 29498 | GridSize: 55
Generation 134 | Revalues: 29708 | GridSize: 56
Generation 135 | Revalues: 29938 | GridSize: 57
Generation 136 | Revalues: 30112 | GridSize: 58
Generation 137 | Revalues: 30366 | GridSize: 60
Generation 138 | Revalues: 30576 | GridSize: 61
Generation 139 | Revalues: 30786 | GridSize: 65
Generation 140 | Revalues: 30968 | GridSize: 69
Generation 141 | Revalues: 31178 | GridSize: 65
Generation 142 | Revalues: 31392 | GridSize: 64
Generation 143 | Revalues: 31602 | GridSize: 60
Generation 144 | Revalues: 31850 | GridSize: 59
Generation 145 | Revalues: 32078 | GridSize: 57
Generation 146 | Revalues: 32298 | GridSize: 64
Generation 147 | Revalues: 32484 | GridSize: 72
Generation 148 | Revalues: 32708 | GridSize: 76
Generation 149 | Revalues: 32922 | GridSize: 70
Generation 150 | Revalues: 33146 | GridSize: 65
Generation 151 | Revalues: 33378 | GridSize: 68
Generation 152 | Revalues: 33606 | GridSize: 61
Generation 153 | Revalues: 33838 | GridSize: 58
Generation 154 | Revalues: 34070 | GridSize: 53
Generation 155 | Revalues: 34274 | GridSize: 59
Generation 156 | Revalues: 34494 | GridSize: 62
Generation 157 | Revalues: 34714 | GridSize: 59
Generation 158 | Revalues: 34926 | GridSize: 53
Generation 159 | Revalues: 35148 | GridSize: 57
Generation 160 | Revalues: 35388 | GridSize: 64
Generation 161 | Revalues: 35590 | GridSize: 74
Generation 162 | Revalues: 35800 | GridSize: 69
Generation 163 | Revalues: 36008 | GridSize: 75
Generation 164 | Revalues: 36220 | GridSize: 57
Generation 165 | Revalues: 36456 | GridSize: 67
Generation 166 | Revalues: 36680 | GridSize: 68
Generation 167 | Revalues: 36904 | GridSize: 56
Generation 168 | Revalues: 37138 | GridSize: 49
Generation 169 | Revalues: 37348 | GridSize: 51
Generation 170 | Revalues: 37602 | GridSize: 51
Generation 171 | Revalues: 37814 | GridSize: 49
Generation 172 | Revalues: 38036 | GridSize: 49
Generation 173 | Revalues: 38258 | GridSize: 47
Generation 174 | Revalues: 38478 | GridSize: 50
Generation 175 | Revalues: 38718 | GridSize: 44
Generation 176 | Revalues: 38940 | GridSize: 53
Generation 177 | Revalues: 39180 | GridSize: 50
Generation 178 | Revalues: 39410 | GridSize: 53
Generation 179 | Revalues: 39632 | GridSize: 52
Generation 180 | Revalues: 39858 | GridSize: 49
Generation 181 | Revalues: 40084 | GridSize: 51
Generation 182 | Revalues: 40306 | GridSize: 48
Generation 183 | Revalues: 40550 | GridSize: 54
Generation 184 | Revalues: 40782 | GridSize: 52
Generation 185 | Revalues: 40980 | GridSize: 56
Generation 186 | Revalues: 41204 | GridSize: 63
Generation 187 | Revalues: 41430 | GridSize: 66
Generation 188 | Revalues: 41660 | GridSize: 70
Generation 189 | Revalues: 41866 | GridSize: 66
Generation 190 | Revalues: 42084 | GridSize: 74
