Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 320 | GridSize: 4
Generation 2 | Revalues: 538 | GridSize: 6
Generation 3 | Revalues: 752 | GridSize: 9
Generation 4 | Revalues: 970 | GridSize: 11
Generation 5 | Revalues: 1202 | GridSize: 10
Generation 6 | Revalues: 1422 | GridSize: 14
Generation 7 | Revalues: 1648 | GridSize: 14
Generation 8 | Revalues: 1842 | GridSize: 12
Generation 9 | Revalues: 2060 | GridSize: 11
Generation 10 | Revalues: 2238 | GridSize: 12
Generation 11 | Revalues: 2432 | GridSize: 15
Generation 12 | Revalues: 2644 | GridSize: 14
Generation 13 | Revalues: 2864 | GridSize: 10
Generation 14 | Revalues: 3070 | GridSize: 15
Generation 15 | Revalues: 3292 | GridSize: 20
Generation 16 | Revalues: 3500 | GridSize: 20
Generation 17 | Revalues: 3718 | GridSize: 28
Generation 18 | Revalues: 3954 | GridSize: 28
Generation 19 | Revalues: 4186 | GridSize: 31
Generation 20 | Revalues: 4406 | GridSize: 25
Generation 21 | Revalues: 4632 | GridSize: 29
Generation 22 | Revalues: 4828 | GridSize: 30
Generation 23 | Revalues: 5042 | GridSize: 33
Generation 24 | Revalues: 5274 | GridSize: 19
Generation 25 | Revalues: 5466 | GridSize: 27
Generation 26 | Revalues: 5702 | GridSize: 29
Generation 27 | Revalues: 5920 | GridSize: 35
Generation 28 | Revalues: 6154 | GridSize: 31
Generation 29 | Revalues: 6358 | GridSize: 34
Generation 30 | Revalues: 6572 | GridSize: 27
Generation 31 | Revalues: 6804 | GridSize: 35
Generation 32 | Revalues: 7024 | GridSize: 25
Generation 33 | Revalues: 7256 | GridSize: 30
Generation 34 | Revalues: 7462 | GridSize: 33
Generation 35 | Revalues: 7698 | GridSize: 18
Generation 36 | Revalues: 7940 | GridSize: 25
Generation 37 | Revalues: 8166 | GridSize: 28
Generation 38 | Revalues: 8398 | GridSize: 23
Generation 39 | Revalues: 8644 | GridSize: 29
Generation 40 | Revalues: 8872 | GridSize: 41
Generation 41 | Revalues: 9082 | GridSize: 32
Generation 42 | Revalues: 9298 | GridSize: 31
Generation 43 | Revalues: 9508 | GridSize: 19
Generation 44 | Revalues: 9736 | GridSize: 22
Generation 45 | Revalues: 9964 | GridSize: 29
Generation 46 | Revalues: 10208 | GridSize: 23
Generation 47 | Revalues: 10414 | GridSize: 20
Generation 48 | Revalues: 10626 | GridSize: 28
Generation 49 | Revalues: 10846 | GridSize: 28
Generation 50 | Revalues: 11064 | GridSize: 23
Generation 51 | Revalues: 11282 | GridSize: 30
Generation 52 | Revalues: 11510 | GridSize: 25
Generation 53 | Revalues: 11728 | GridSize: 24
Generation 54 | Revalues: 11930 | GridSize: 28
Generation 55 | Revalues: 12130 | GridSize: 25
Generation 56 | Revalues: 12358 | GridSize: 26
Generation 57 | Revalues: 12574 | GridSize: 35
Generation 58 | Revalues: 12796 | GridSize: 36
Generation 59 | Revalues: 12982 | GridSize: 32
Generation 60 | Revalues: 13204 | GridSize: 25
Generation 61 | Revalues: 13430 | GridSize: 25
Generation 62 | Revalues: 13636 | GridSize: 19
Generation 63 | Revalues: 13844 | GridSize: 28
Generation 64 | Revalues: 14032 | GridSize: 29
Generation 65 | Revalues: 14242 | GridSize: 36
Generation 66 | Revalues: 14476 | GridSize: 28
Generation 67 | Revalues: 14690 | GridSize: 31
Generation 68 | Revalues: 14900 | GridSize: 31
Generation 69 | Revalues: 15132 | GridSize: 34
Generation 70 | Revalues: 15346 | GridSize: 29
Generation 71 | Revalues: 15570 | GridSize: 31
Generation 72 | Revalues: 15796 | GridSize: 27
Generation 73 | Revalues: 15996 | GridSize: 37
Generation 74 | Revalues: 16236 | GridSize: 34
Generation 75 | Revalues: 16428 | GridSize: 43
Generation 76 | Revalues: 16674 | GridSize: 45
Generation 77 | Revalues: 16896 | GridSize: 42
Generation 78 | Revalues: 17110 | GridSize: 42
Generation 79 | Revalues: 17318 | GridSize: 41
Generation 80 | Revalues: 17520 | GridSize: 34
Generation 81 | Revalues: 17764 | GridSize: 40
Generation 82 | Revalues: 17974 | GridSize: 37
Generation 83 | Revalues: 18212 | GridSize: 41
Generation 84 | Revalues: 18426 | GridSize: 34
Generation 85 | Revalues: 18662 | GridSize: 39
Generation 86 | Revalues: 18870 | GridSize: 35
Generation 87 | Revalues: 19108 | GridSize: 40
Generation 88 | Revalues: 19318 | GridSize: 50
Generation 89 | Revalues: 19544 | GridSize: 43
Generation 90 | Revalues: 19752 | GridSize: 46
Generation 91 | Revalues: 19988 | GridSize: 40
Generation 92 | Revalues: 20232 | GridSize: 36
Generation 93 | Revalues: 20476 | GridSize: 47
Generation 94 | Revalues: 20700 | GridSize: 31
Generation 95 | Revalues: 20900 | GridSize: 36
Generation 96 | Revalues: 21120 | GridSize: 40
Generation 97 | Revalues: 21348 | GridSize: 40
Generation 98 | Revalues: 21578 | GridSize: 41
Generation 99 | Revalues: 21788 | GridSize: 37
Generation 100 | Revalues: 22052 | GridSize: 38
Generation 101 | Revalues: 22264 | GridSize: 32
Generation 102 | Revalues: 22500 | GridSize: 37
Generation 103 | Revalues: 22734 | GridSize: 43
Generation 104 | Revalues: 22948 | GridSize: 43
Generation 105 | Revalues: 23178 | GridSize: 44
Generation 106 | Revalues: 23410 | GridSize: 46
Generation 107 | Revalues: 23614 | GridSize: 47
Generation 108 | Revalues: 23830 | GridSize: 55
Generation 109 | Revalues: 24028 | GridSize: 60
Generation 110 | Revalues: 24262 | GridSize: 53
Generation 111 | Revalues: 24476 | GridSize: 46
Generation 112 | Revalues: 24700 | GridSize: 47
Generation 113 | Revalues: 24902 | GridSize: 48
Generation 114 | Revalues: 25132 | GridSize: 43
Generation 115 | Revalues: 25346 | GridSize: 48
Generation 116 | Revalues: 25572 | GridSize: 48
Generation 117 | Revalues: 25770 | GridSize: 50
Generation 118 | Revalues: 26002 | GridSize: 57
Generation 119 | Revalues: 26216 | GridSize: 59
Generation 120 | Revalues: 26444 | GridSize: 60
Generation 121 | Revalues: 26678 | GridSize: 56
Generation 122 | Revalues: 26896 | GridSize: 54
Generation 123 | Revalues: 27110 | GridSize: 56
Generation 124 | Revalues: 27344 | GridSize: 51
Generation 125 | Revalues: 27564 | GridSize: 66
Generation 126 | Revalues: 27772 | GridSize: 56
Generation 127 | Revalues: 27990 | GridSize: 56
Generation 128 | Revalues: 28206 | GridSize: 50
Generation 129 | Revalues: 28430 | GridSize: 42
Generation 130 | Revalues: 28678 | GridSize: 43
Generation 131 | Revalues: 28920 | GridSize: 40
Generation 132 | Revalues: 29124 | GridSize: 48
Generation 133 | Revalues: 29334 | GridSize: 53
Generation 134 | Revalues: 29574 | GridSize: 66
Generation 135 | Revalues: 29792 | GridSize: 68
Generation 136 | Revalues: 30032 | GridSize: 68
Generation 137 | Revalues: 30238 | GridSize: 71
Generation 138 | Revalues: 30454 | GridSize: 79
Generation 139 | Revalues: 30678 | GridSize: 64
Generation 140 | Revalues: 30912 | GridSize: 61
Generation 141 | Revalues: 31142 | GridSize: 62
Generation 142 | Revalues: 31362 | GridSize: 65
Generation 143 | Revalues: 31568 | GridSize: 65
Generation 144 | Revalues: 31780 | GridSize: 66
Generation 145 | Revalues: 31994 | GridSize: 68
Generation 146 | Revalues: 32202 | GridSize: 65
Generation 147 | Revalues: 32428 | GridSize: 67
Generation 148 | Revalues: 32668 | GridSize: 67
Generation 149 | Revalues: 32890 | GridSize: 55
Generation 150 | Revalues: 33102 | GridSize: 55
Generation 151 | Revalues: 33326 | GridSize: 61
Generation 152 | Revalues: 33544 | GridSize: 61
Generation 153 | Revalues: 33780 | GridSize: 63
Generation 154 | Revalues: 34006 | GridSize: 77
Generation 155 | Revalues: 34224 | GridSize: 74
Generation 156 | Revalues: 34452 | GridSize: 63
Generation 157 | Revalues: 34696 | GridSize: 67
Generation 158 | Revalues: 34926 | GridSize: 62
Generation 159 | Revalues: 35136 | GridSize: 67
Generation 160 | Revalues: 35352 | GridSize: 67
Generation 161 | Revalues: 35592 | GridSize: 72
Generation 162 | Revalues: 35818 | GridSize: 69
Generation 163 | Revalues: 36042 | GridSize: 58
Generation 164 | Revalues: 36280 | GridSize: 68
Generation 165 | Revalues: 36516 | GridSize: 75
Generation 166 | Revalues: 36732 | GridSize: 66
Generation 167 | Revalues: 36982 | GridSize: 57
Generation 168 | Revalues: 37208 | GridSize: 71
Generation 169 | Revalues: 37428 | GridSize: 66
Generation 170 | Revalues: 37636 | GridSize: 60
Generation 171 | Revalues: 37832 | GridSize: 61
Generation 172 | Revalues: 38050 | GridSize: 67
Generation 173 | Revalues: 38268 | GridSize: 65
Generation 174 | Revalues: 38502 | GridSize: 57
