Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD,COMOLSD
71,0.32,0.1166190379,-0.5680473373,1.6280276817,0.3631734744,0.14,0.1019803903,0.3209876543,1.9556213018,0.2715454179,0.54,0.1496662955,0.3518518519,1.8469387755,-0.3436215967,0.38,0.1166190379,-0.2686567164,1.6280276817,-0.3631734744,0.9708196929299998,0.9553606599610001,0.9513736987656001
129,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.9886053797000001,0.9237810358435,0.9116260582598
22,0.2551724138,0.1566595406,0.2826378847,1.7568730846,-0.0957234416,0.2206896552,0.1125850187,0.0408307853,3.002089134,0.602335339,0.524137931,0.1430099404,0.0254271601,3.0084424013,0.1372709801,0.3482758621,0.0855839562,-0.0032019086,2.3812510541,0.2185925605,0.83443006436,0.7971142174505002,0.78495835963945
183,0.25,0.1301708279,0.2371134021,2.6726686375,-0.3778137441,0.2222222222,0.1271724794,0.1588355465,1.6822446244,0.0646941172,0.5277777778,0.1043794124,-0.0978037605,2.5356836184,-0.2798439446,0.3888888889,0.1242259987,-0.2965762561,2.23584,-0.1366684748,0.859334080925,0.8267238403275,0.8143153264020002
429,0.2222222222,0.1474055462,-0.4867088608,2.5750258264,0.0299798212,0.2222222222,0.1133115447,-0.1417910448,2.5417899408,-0.4431470361,0.5555555556,0.1571348403,0.0083586626,1.8033,-0.1025304833,0.3222222222,0.1227262335,-0.9978858351,3.2801666219,1.0137035172,0.8888247530330002,0.8749703666466001,0.8723078478941501
64,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.8269819756200001,0.7687603685384999,0.7502480510884999
481,0.2066666667,0.0997775303,-0.0003160556,1.7173947704,0.2690509377,0.26,0.1540562668,0.0707350902,2.7994571393,0.4682369174,0.5333333333,0.1534781924,-0.361774744,1.951762193,-0.2376753781,0.3666666667,0.0699205899,-0.14,2.1694214876,0.5634097118,0.8635844077849999,0.782661456931,0.76570593047345
241,0.2727272727,0.0962091386,0.3219178082,1.9001913265,-0.0455582177,0.2545454545,0.1304790918,0.3171390013,2.788245829,-0.0994366535,0.4727272727,0.1285648693,0.1117256637,4.2479,1.2876414485,0.3545454545,0.0890723543,-0.0029097963,2.3567708333,-0.5230681222,0.87972009227,0.8338924915195,0.8232912049236999
281,0.3230769231,0.1475640469,-0.1426556992,1.876919896,0.3170212355,0.1538461538,0.0929465075,-0.4058744993,4.4367611184,1.0373416275,0.5230769231,0.1249852062,-0.3064563249,1.9466253444,0.0307728727,0.3923076923,0.0729756383,-0.0119760479,4.6362962963,-1.0681471208,0.9358165651349999,0.9172129470979999,0.91060357539324
84,0.22,0.16,-0.6527196653,1.4189453125,-0.03515625,0.14,0.1019803903,-0.4814814815,1.9556213018,0.2715454179,0.64,0.1019803903,-0.7063492063,1.9556213018,0.2715454179,0.52,0.0979795897,0.1025641026,2.7291666667,0.8675276172,0.91782031626,0.8798340885719999,0.869079533852695
161,0.4666666667,0.1699673171,-0.1379310345,1.5,0.5280049792,0.0666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.4666666667,0.1247219129,-0.0588235294,1.5,-0.3818017742,0.4333333333,0.1247219129,-0.9411764706,1.5,0.3818017742,0.9587878640294999,0.9554812128928498,0.953664767910985
103,0.4210526316,0.1734448111,0.0984332256,2.1845334392,0.0375538555,0.1684210526,0.0729284551,-0.230945122,2.8756510417,-0.2480801938,0.4105263158,0.1832304756,0.3284507324,2.376131425,-0.1040898546,0.3631578947,0.108630355,-0.0655163117,2.7886993321,-0.462664892,0.8228956127789999,0.8102610822709998,0.8029256388532499
209,0.2333333333,0.0942809042,-0.8,1.5,-0.7071067812,0.1333333333,0.1247219129,-0.0384615385,1.5,0.3818017742,0.6333333333,0.1699673171,-0.3378378378,1.5,-0.5280049792,0.4333333333,0.0471404521,-0.8,1.5,0.7071067812,0.87413138718,0.8439497735149999,0.83379883340945
206,0.3875,0.1763341997,0.2626490493,2.2669377036,-0.425328723,0.275,0.1436140662,0.3218673219,2.1239669421,-0.1899028974,0.3375,0.1690968657,-0.0699528815,1.9764400251,-0.2884174795,0.34375,0.0933324033,0.0455979352,2.1015705122,-0.0486471856,0.9784405803849996,0.9070913340284997,0.896958100515775
244,0.3222222222,0.1474055462,0.3336809176,2.1670971074,0.2381254369,0.2,0.1632993162,0.2,4.3125,1.3778379803,0.4777777778,0.1314684396,0.0858794385,2.2402040816,0.7075148475,0.3666666667,0.1247219129,0.2090909091,2.2346938776,0.3054414193,0.9192915730849999,0.8726690010590001,0.86390810861266
336,0.22,0.1166190379,-0.1194029851,1.6280276817,0.3631734744,0.18,0.1166190379,-0.0112359551,1.6280276817,-0.3631734744,0.6,0.1673320053,-1.2,2.5,0.7683612489,0.46,0.1019803903,-0.5079365079,1.9556213018,-0.2715454179,0.8700092230155001,0.862967178683,0.85881395128776
331,0.2882352941,0.1231085267,-0.0873421123,3.2998999187,0.6028367431,0.2411764706,0.1374508405,-0.3061439284,1.9498651532,0.0484394843,0.4705882353,0.1317962147,0.059461001,2.1996238155,0.5521232357,0.3529411765,0.1091013941,-0.2726402451,2.617056517,0.7400964463,0.9763480240350001,0.8902053388950002,0.8735753223531502
0,0.2470588235,0.1193987243,-0.39870317,2.2166556697,0.4842941234,0.2647058824,0.1452834004,-0.4789694428,1.9846869121,-0.0625253527,0.4882352941,0.1640744198,-0.3985792455,2.4650279869,0.2687497815,0.3411764706,0.1140630555,0.0165289256,2.5765617927,0.5744138536,0.9841716827400001,0.918615917479,0.9070357817672999
261,0.3,0.0816496581,-1.0,1.5,0.0,0.3,0.2449489743,-1.0,1.5,0.0,0.4,0.1632993162,-1.0,1.5,0.0,0.4666666667,0.0471404521,-0.2,1.5,-0.7071067812,0.9011849547249999,0.8138222106499999,0.7961911128896001
504,0.22,0.0748331477,0.347826087,1.8469387755,-0.3436215967,0.26,0.1624807681,-0.2111801242,2.2685950413,-0.1790421687,0.52,0.1939071943,0.3065693431,2.3587596197,-0.2830922144,0.48,0.1166190379,0.2910447761,1.6280276817,-0.3631734744,0.84624102298965,0.8506840134147501,0.8458814040793798
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8152886367709999,0.80071262922455,0.7975823861783748
440,0.248,0.085416626,-0.0016917461,2.3742497692,0.0622336625,0.256,0.1235475617,0.0862610104,2.2122476695,-0.0105884413,0.496,0.1248358923,0.1114534002,2.7725187525,-0.2944975175,0.392,0.144,0.3321966468,2.4700002858,-0.0207047325,0.825853083795,0.7899407138160001,0.7748658780829499
230,0.25,0.138443731,-0.3333333333,2.2400756144,0.5652900928,0.15,0.0957427108,-0.6923076923,2.0578512397,-0.0,0.6,0.1,-0.4,3.0,1.0,0.4833333333,0.0897527468,0.232,1.3234244946,0.3329709512,0.849872010433,0.846330585988,0.8356469808255997
430,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9441931505810001,0.9416469529324999,0.93767540717693
A,0.3444444444,0.0831479419,0.1544885177,2.4757653061,0.1765833205,0.2555555556,0.149897084,-0.4526600541,4.0475184157,0.7836064205,0.4,0.1414213562,-0.4285714286,2.8333333333,-0.7071067812,0.3,0.0666666667,-0.3333333333,2.25,0.0,0.8055238995996999,0.8061925604395002,0.804181943784665
