Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD,COMOLSD
71,0.3203703704,0.1211513128,0.1036487235,5.1182354354,1.5033521863,0.187037037,0.0898482183,0.4459021309,2.8145649878,-0.1067143339,0.4925925926,0.1015652533,0.012973334,3.3595292871,-0.0371087715,0.237037037,0.0688430752,-0.2634775102,2.9139138521,0.4722419177,0.8034276004529923,0.7987600660205901,0.7962444549811327
129,0.2830508475,0.1015182081,-0.1832707834,2.8068366011,-0.1303275051,0.2008474576,0.0967661542,-0.1078122436,2.6212630827,0.2426226135,0.5161016949,0.1273726276,-0.2356915183,3.960784432,-0.435600673,0.2347457627,0.0671793938,-0.332745377,3.2820569026,0.5671260033,0.736868985622724,0.6385387793803322,0.6329460293896265
22,0.3086538462,0.1191803553,0.0376978038,2.3441120001,0.3057683064,0.1807692308,0.085571521,0.3226807191,2.0591368228,-0.0126667853,0.5105769231,0.0952408579,-0.0379589492,2.4534963589,-0.2872303837,0.2451923077,0.0688222455,-0.0151255204,2.4806086112,-0.0481892332,0.5779379086008509,0.5449194609950325,0.5335747421009929
183,0.3221311475,0.1249670744,0.1079028579,2.4651812599,-0.1619882155,0.1524590164,0.0902756387,0.1841113572,3.4426701799,0.9126069098,0.5254098361,0.1114814367,-0.1665496519,2.7117984404,-0.1971998478,0.2393442623,0.0608106131,0.0825485845,2.8319464808,-0.0248031052,0.6216308287561291,0.5946087793419452,0.5848873825842597
429,0.3419354839,0.126425277,0.3420398799,4.6507835388,0.7084543087,0.1758064516,0.0801922767,0.1995181542,2.4142493009,-0.1699348976,0.4822580645,0.112557073,-0.0336100411,2.813351239,-0.4026130847,0.235483871,0.0742636415,0.0523080473,6.2131470274,1.3322524514,0.6814755224410123,0.6773190997446827,0.6724345942903164
64,0.2883333333,0.099735762,-0.0208276369,3.4297038865,-0.7604381107,0.1833333333,0.0942809042,0.0095351609,2.7234375,0.3071495081,0.5283333333,0.1115671198,-0.119356163,1.7942212902,0.0288572427,0.24,0.0746100976,-0.2552426603,3.4864283409,0.2841117418,0.5869789877324587,0.5251617175074361,0.5089300588649139
481,0.3769230769,0.1134235051,0.2194017523,3.2409685141,0.3288549324,0.166025641,0.0911091167,0.1769809963,3.0086299023,0.6005351233,0.4570512821,0.1011866639,0.0031898878,2.7058633942,0.2159851263,0.233974359,0.0875205433,-0.1864425494,6.0649769883,1.2271861571,0.6450676029463988,0.5743966940219732,0.5659375743017526
241,0.3421875,0.1381288885,0.2972405724,2.660348142,-0.1488133473,0.19375,0.0845484329,0.2694586313,2.6586938995,-0.3078068899,0.4640625,0.1091403733,0.0459817312,1.7958164124,-0.0912154942,0.2125,0.0661437828,-0.1624441133,3.7283163265,0.5871948063,0.6022640273891229,0.5373589741056274,0.5318904677198112
281,0.3451612903,0.1152520651,-0.1784845556,3.4090906162,-0.3559817648,0.1451612903,0.0873949496,0.3487143615,3.5066333368,0.7642998627,0.5096774194,0.1234055436,-0.4952301544,2.9322954097,0.073222036,0.2322580645,0.0629239007,-0.1712033318,2.8386390754,-0.6692432919,0.7180805939596329,0.7049655168140226,0.7008500817014928
84,0.253125,0.0892131401,0.0421850781,2.7437886258,0.0379081135,0.1859375,0.0970135099,0.1214571562,1.9440078326,0.0913718061,0.5609375,0.1066055631,0.1908045977,2.8363065251,-0.1121979825,0.2375,0.078062475,0.0384300899,2.4911242604,0.3202563076,0.6853741421303221,0.6553376561384323,0.647980782096418
161,0.3522727273,0.1049645749,-0.0323708045,1.9349034626,0.0283825155,0.1113636364,0.0520747238,-0.3514045251,2.5156244898,0.0189537825,0.5363636364,0.1207757296,-0.1688468505,2.1833976679,-0.2403660816,0.2704545455,0.0748621322,0.1098265896,2.6658701608,-0.2306712005,0.8107356507164599,0.811141942516544,0.8095555121530282
103,0.4,0.1154700538,-0.1458333333,1.828125,0.4871392896,0.1944444444,0.1039349274,-0.3231168831,3.158644898,0.0739168235,0.4055555556,0.1363093794,0.107083234,1.4956291873,-0.1168546649,0.2388888889,0.0906083691,0.1051473823,2.3873311097,-0.1157127626,0.5880589197382871,0.5778662696258344,0.5693930597125387
209,0.318,0.1156546584,-0.0308522669,2.4425121907,0.0820066385,0.216,0.1092886087,0.0643799587,2.7021234168,0.1628629232,0.466,0.1197664394,-0.1143583458,2.6977792736,0.3622918688,0.225,0.0672681202,0.124600639,3.1142211776,0.566710454,0.6325515829353746,0.6070256113713283,0.5995815498663335
206,0.3469387755,0.1201224559,0.0907405771,2.7795032709,-0.0692365469,0.1642857143,0.0735402153,0.0831725616,2.1881452474,0.0,0.4887755102,0.117049312,0.0464846786,2.7056368884,0.3187926527,0.2387755102,0.0694477532,0.1094719811,2.0747329906,0.0854374012,0.7056498507010011,0.6021700177898593,0.6000137376067526
244,0.3380952381,0.1184269535,-0.0522657701,2.9875709807,0.1341513098,0.1738095238,0.1108613974,-0.0761461728,6.8490310249,1.7485594318,0.4880952381,0.1511107776,-0.3563609272,2.4446081994,-0.3203606037,0.2261904762,0.0781010451,0.1383801565,2.6297418499,0.4431169284,0.6851275243665766,0.6513910208195537,0.6454436481927293
336,0.2958333333,0.1126542153,0.2826807414,1.7695396932,-0.3334335906,0.1541666667,0.0900424283,0.2661157025,2.8547106915,0.5602482173,0.55,0.0841625412,-0.0303030303,2.0968858131,-0.2096783032,0.2916666667,0.0837489635,-0.3228736581,2.2688952064,0.1576296539,0.7394253445083528,0.7415322215375619,0.7381084604321382
331,0.2941176471,0.1151499699,0.042633985,2.3347869796,0.2131022201,0.1747058824,0.0935016607,0.0175517056,2.8930587196,0.613678632,0.5311764706,0.1059901412,-0.1949028047,2.7241563251,0.039420639,0.2517647059,0.0648287603,-0.1205037409,2.7930148748,0.4202787786,0.7226013977864081,0.5880729655283325,0.5805762832992636
0,0.2779761905,0.0936531056,0.043319533,3.0843072272,0.6623362294,0.1952380952,0.0861266536,0.2462060277,2.4107857723,0.0635502468,0.5267857143,0.0946316256,-0.010882977,2.8083417552,-0.2449470464,0.230952381,0.0621560832,-0.1131991845,2.8664091176,0.0805466347,0.7485690887874789,0.6697917840212874,0.6643215708122195
261,0.2849206349,0.1022116232,-0.0872447731,2.8680143887,0.1763793289,0.2023809524,0.1029056323,0.2271793154,2.2777077248,0.2746989955,0.5126984127,0.1076326254,-0.113862294,2.630708862,-0.0627903191,0.2174603175,0.0690977742,0.0992037557,2.4500146894,0.2241510127,0.6460235855982368,0.4990864511568879,0.4880473021201202
