Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD,COMOLSD
71,0.2306,0.0277604035,0.1555432366,2.9153877061,-0.1090234079,0.2506,0.0319474569,0.2858497768,2.855007021,0.0158749454,0.5188,0.0322886977,-0.0976281685,2.7457023199,0.3824668168,0.03,0.0088317609,-0.1756756757,2.3915187377,0.3483929336,0.8034276004529923,0.7987600660205901,0.7962444549811327
129,0.2482,0.0326153338,-0.1962365355,2.4417901995,-0.1797055546,0.2698,0.0287569122,0.1099972586,2.3273986805,0.3335118508,0.482,0.0241246762,-0.3057250117,2.1523895561,0.1816166679,0.036,0.0104880885,-0.2008242788,3.0676033058,-0.4992676831,0.736868985622724,0.6385387793803322,0.6329460293896265
22,0.2464,0.0265902238,-0.0850311523,3.2936287205,0.9033175639,0.2842,0.0242767378,0.1106058772,2.2537071178,0.0639497303,0.4694,0.0299105333,0.1116266138,3.3113488533,0.6414838259,0.032,0.0096953597,-0.0337462623,2.3465368945,0.5135161098,0.5779379086008509,0.5449194609950325,0.5335747421009929
183,0.236,0.0324037035,-0.1922503726,2.4845333333,-0.5292164037,0.2404,0.028945466,-0.0032095825,2.0120782956,-0.200624211,0.5236,0.0320474648,0.1768872514,3.9322436719,0.8291696111,0.0394,0.0073918874,0.2494361618,2.8716550658,0.4297378663,0.6216308287561291,0.5946087793419452,0.5848873825842597
429,0.2924,0.0372859223,0.2989688704,3.1096564801,-0.4636425562,0.2242,0.0358240143,0.2466800794,3.7249649775,0.7680368425,0.4834,0.0408587812,0.1904475265,2.6313109247,-0.4732734859,0.0408,0.0108332821,0.1143187574,2.5720569642,0.3129037936,0.6814755224410123,0.6773190997446827,0.6724345942903164
64,0.2736,0.036810868,-0.0226213147,3.3246384984,0.5663351959,0.248,0.0374432905,0.125034125,3.2287103608,0.3011687105,0.4784,0.0450714988,0.2176229838,3.0466883697,-0.6884552285,0.036,0.0112249722,-0.3305679643,2.7773998488,0.3224103871,0.5869789877324587,0.5251617175074361,0.5089300588649139
481,0.2448,0.0403107926,0.2894058767,3.4831995477,0.4224204119,0.2648,0.0331807173,0.3262306657,2.1633176154,0.1000689763,0.4904,0.0436559274,-0.0531008845,2.2528993089,-0.1939523652,0.0298,0.009108238,-0.0593261201,2.0665748222,-0.2186497516,0.6450676029463988,0.5743966940219732,0.5659375743017526
241,0.2338,0.0320711709,0.0570672743,2.6880150185,0.4678960262,0.263,0.032984845,-0.1526094027,3.6238071745,0.314482659,0.5032,0.0335225297,-0.0118273767,3.9884404966,-0.3615715929,0.0398,0.0087726849,0.1361955404,2.3920064315,-0.0723043792,0.6022640273891229,0.5373589741056274,0.5318904677198112
281,0.2494,0.0300772339,-0.1884701615,3.7013848831,0.3360485446,0.2024,0.0266127789,0.3447176263,1.8382518788,0.1330017407,0.5482,0.0352953255,0.0601443133,2.7815632846,0.00745826,0.0482,0.0100876162,-0.172743542,3.0862777382,-0.1457980451,0.7180805939596329,0.7049655168140226,0.7008500817014928
84,0.2358,0.0288679753,-0.11071292,2.1192899602,-0.1334547322,0.276,0.0222710575,0.2788297509,3.6029526535,-0.6050815719,0.4882,0.034260181,0.0875950335,2.7302490792,-0.3633347531,0.041,0.0091651514,0.1853263459,2.518707483,0.4052617962,0.6853741421303221,0.6553376561384323,0.647980782096418
