Feature,Importance
INF_sd,0.24572888372484894
SUP_sd,0.08521006152872643
IND_avg,0.08154417715352275
SUP_avg,0.08053714653650383
INF_avg,0.0647868328960525
INC_r1,0.05192189165410088
IND_r1,0.0487077538597835
SUP_sk,0.036275979859024796
INF_r1,0.0325202954857631
IND_kr,0.028942699874352214
INF_kr,0.028440836427329017
INC_avg,0.028176862331922344
SUP_kr,0.027794966692156215
INC_kr,0.026100032824452602
INC_sd,0.02515330921043197
INF_sk,0.024035898415716312
IND_sd,0.0220938808989772
SUP_r1,0.022049963704222228
INC_sk,0.021380729717193785
IND_sk,0.018597797204919563
