Feature,Importance
INC_sd,0.16122486161291824
INC_avg,0.14548179643673106
INF_avg,0.10365117522683541
SUP_sd,0.09473696878925013
INF_sd,0.09385440514270975
INC_kr,0.07142400231648076
SUP_avg,0.06705136926741172
INC_sk,0.052519752375521325
IND_r1,0.05139348093302603
SUP_sk,0.038531593378435286
IND_avg,0.0274532900828967
INF_r1,0.027030998580867802
INF_kr,0.014070714821294487
SUP_r1,0.013323292482357457
SUP_kr,0.010427337699768311
INC_r1,0.008040841952745546
INF_sk,0.007823907177426285
IND_kr,0.0057995632223414185
IND_sk,0.0034663448389445034
IND_sd,0.002694303662037802
