Feature,Importance
IND_avg,0.17282709960223083
IND_sd,0.1146132208315532
INC_r1,0.11233168483448955
INC_sd,0.11102316836459333
INF_sd,0.09324485938104904
SUP_avg,0.0675541825965484
INC_avg,0.06343026308190058
SUP_r1,0.05326441744066945
INF_r1,0.04079021439824727
INC_sk,0.03652189365279657
SUP_sd,0.03181695459092613
IND_kr,0.02191681307696894
SUP_kr,0.016180586283996587
INC_kr,0.0160555660466133
IND_sk,0.012740502958154794
IND_r1,0.011424772386306868
INF_avg,0.0069315595933213
INF_sk,0.006775887931221421
INF_kr,0.006587812145670515
SUP_sk,0.003968540802741927
