Feature,Importance
SUP_r1,0.24042721431829667
SUP_avg,0.13617721480881448
INC_avg,0.13036304722958725
SUP_sd,0.11565378516396045
IND_r1,0.07801225125854758
INF_avg,0.062241317741201035
INF_r1,0.047091522778838525
IND_sd,0.03346540688142344
INC_sd,0.02993173901145445
INF_sd,0.026988593991868325
INC_r1,0.019982381020431542
INF_sk,0.01890655582698128
IND_kr,0.01644901852984523
INF_kr,0.013268820179033945
IND_avg,0.011269939314954916
IND_sk,0.006651532069023845
SUP_sk,0.00391276634486415
INC_sk,0.003392157150826431
SUP_kr,0.003091239233984573
INC_kr,0.0027234971460620566
