Feature,Importance
INF_kr,0.11373374907813893
INF_avg,0.1000215557842438
INF_sd,0.09788348919201226
INC_avg,0.09690415102948968
INF_r1,0.06985293518526241
INF_sk,0.06455381172075553
INC_sd,0.05279438414652516
SUP_sd,0.051724155745865925
IND_sd,0.04935976838343848
IND_sk,0.035986137271985706
SUP_sk,0.03541752498415815
SUP_r1,0.03246271964567524
SUP_avg,0.031770866813482235
IND_avg,0.030517084558762803
IND_r1,0.026774114647172057
INC_sk,0.02662109627967843
INC_r1,0.023722065079639424
IND_kr,0.022443416268225606
SUP_kr,0.02059575143089252
INC_kr,0.016861222754595683
